ICD10	ICD10_our_names	ICD10_category	ICD10_colors
L70	Acne	Diseases of the skin and subcutaneous tissue	#5045F3
D76	Hemophagocytic lymphohistiocytosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
L20	Atopic dermatitis	Diseases of the skin and subcutaneous tissue	#5045F3
C92	Myeloid leukemia	Neoplasms	#570892
I21	Acute myocardial infarction	Diseases of the circulatory system	#0BF57B
C74	Adrenal cancer	Neoplasms	#570892
C91	Lymphoid leukemia	Neoplasms	#570892
-		Unclassified diseases and risk factors	#97F52C
K70	Alcoholic liver disease	Diseases of the digestive system	#82DD7A
L65	Alopecia	Diseases of the skin and subcutaneous tissue	#5045F3
G30	Alzheimer's disease	Diseases of the nervous system	#75C0D9
G12	Amyotrophic lateral sclerosis	Diseases of the nervous system	#75C0D9
N01	ANCA crescentic glomerulonephritis	Diseases of the genitourinary system	#42223B
K12	Aphthous stomatitis	Diseases of the digestive system	#82DD7A
I42	Cardiomyopathy	Diseases of the circulatory system	#0BF57B
J45	Asthma	Diseases of the respiratory system	#FE1659
C71	Brain cancer	Neoplasms	#570892
I48	Atrial fibrillation	Diseases of the circulatory system	#0BF57B
F84	Autism	Mental and behavioural disorders	#03A412
D72	Autosomal dominant monocytopenia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
M47	Axial Spondyloarthropathy	Diseases of the musculoskeletal system and connective tissue	#1E5448
C34	Lung cancer	Neoplasms	#570892
M35	Other systemic involvement of connective tissue	Diseases of the musculoskeletal system and connective tissue	#1E5448
C67	Bladder cancer	Neoplasms	#570892
C50	Breast cancer	Neoplasms	#570892
A04	Campylobacter Jenuni Infection	Certain infectious and parasitic diseases	#4EF9EA
I63	Cerebral infarction	Diseases of the circulatory system	#0BF57B
Q87	Other specified congenital malformation syndromes affecting multiple systems	Congenital malformations, deformations and chromosomal abnormalities	#272399
C53	Cervix cancer	Neoplasms	#570892
H31	Choroideremia	Diseases of the eye and adnexa	#FFC9DE
J44	Chronic Obstructive Pulmonary Disease	Diseases of the respiratory system	#FE1659
J32	Chronic sinusitis	Diseases of the respiratory system	#FE1659
E88	Other and unspecified metabolic disorders	Endocrine, nutritional and metabolic diseases	#C55F1B
C18	Colon cancer	Neoplasms	#570892
K50	Crohn's disease	Diseases of the digestive system	#82DD7A
