pathway	parents
interleukin 6 signaling	Immune System
apoptosis	Programmed Cell Death
hemostasis	Hemostasis
intrinsic pathway for apoptosis	Programmed Cell Death
mapk3 erk1 activation	Signal Transduction
translesion synthesis by y family dna polymerases bypasses lesions on dna template	DNA Repair
recognition of dna damage by pcna containing replication complex	DNA Repair
translesion synthesis by polh	DNA Repair
recognition and association of dna glycosylase with site containing an affected purine	DNA Repair
displacement of dna glycosylase by apex1	DNA Repair
polb dependent long patch base excision repair	DNA Repair
resolution of ap sites via the multiple nucleotide patch replacement pathway	DNA Repair
activation of bad and translocation to mitochondria	Programmed Cell Death
activation of noxa and translocation to mitochondria	Programmed Cell Death
bh3 only proteins associate with and inactivate anti apoptotic bcl 2 members	Programmed Cell Death
release of apoptotic factors from the mitochondria	Programmed Cell Death
formation of apoptosome	Programmed Cell Death
activation of caspases through apoptosome mediated cleavage	Programmed Cell Death
cytochrome c mediated apoptotic response	Programmed Cell Death
apoptotic cleavage of cellular proteins	Programmed Cell Death
smac xiap regulated apoptotic response	Programmed Cell Death
apoptotic factor mediated response	Programmed Cell Death
opioid signalling	Signal Transduction
pka mediated phosphorylation of creb	Signal Transduction
camk iv mediated phosphorylation of creb	Signal Transduction
ca dependent events	Signal Transduction
g protein mediated events	Signal Transduction
electric transmission across gap junctions	Neuronal System
presynaptic depolarization and calcium channel opening	Neuronal System
neurotransmitter release cycle	Neuronal System
neurotransmitter clearance	Neuronal System
neurotransmitter receptors and postsynaptic signal transmission	Neuronal System
transmission across chemical synapses	Neuronal System
neuronal system	Neuronal System
formation of rna pol ii elongation complex	Gene expression (Transcription)
irs mediated signalling	Signal Transduction
raf independent mapk1 3 activation	Signal Transduction
mapk1 erk2 activation	Signal Transduction
sos mediated signalling	Signal Transduction
formation of the early elongation complex	Gene expression (Transcription)
inhibition of replication initiation of damaged dna by rb1 e2f1	Cell Cycle
e2f enabled inhibition of pre replication complex formation	Cell Cycle
e2f mediated regulation of dna replication	Cell Cycle
activation of bh3 only proteins	Programmed Cell Death
effects of pip2 hydrolysis	Hemostasis
effects of pip2 hydrolysis	Signal Transduction
disinhibition of snare formation	Hemostasis
gpvi mediated activation cascade	Hemostasis
downstream signaling events of b cell receptor bcr	Immune System
activation of ras in b cells	Immune System
antiviral mechanism by ifn stimulated genes	Immune System
prolactin receptor signaling	Immune System
