pathway	colors
interleukin 6 signaling	#7D6608
apoptosis	#F4F6F7
hemostasis	#7DCEA0
intrinsic pathway for apoptosis	#F4F6F7
mapk3 erk1 activation	#1B2631
translesion synthesis by y family dna polymerases bypasses lesions on dna template	#0E6251
recognition of dna damage by pcna containing replication complex	#0E6251
translesion synthesis by polh	#0E6251
recognition and association of dna glycosylase with site containing an affected purine	#0E6251
displacement of dna glycosylase by apex1	#0E6251
polb dependent long patch base excision repair	#0E6251
resolution of ap sites via the multiple nucleotide patch replacement pathway	#0E6251
activation of bad and translocation to mitochondria	#F4F6F7
activation of noxa and translocation to mitochondria	#F4F6F7
bh3 only proteins associate with and inactivate anti apoptotic bcl 2 members	#F4F6F7
release of apoptotic factors from the mitochondria	#F4F6F7
formation of apoptosome	#F4F6F7
activation of caspases through apoptosome mediated cleavage	#F4F6F7
cytochrome c mediated apoptotic response	#F4F6F7
apoptotic cleavage of cellular proteins	#F4F6F7
smac xiap regulated apoptotic response	#F4F6F7
apoptotic factor mediated response	#F4F6F7
opioid signalling	#1B2631
pka mediated phosphorylation of creb	#1B2631
camk iv mediated phosphorylation of creb	#1B2631
ca dependent events	#1B2631
g protein mediated events	#1B2631
electric transmission across gap junctions	#7B7D7D
presynaptic depolarization and calcium channel opening	#7B7D7D
neurotransmitter release cycle	#7B7D7D
neurotransmitter clearance	#7B7D7D
neurotransmitter receptors and postsynaptic signal transmission	#7B7D7D
transmission across chemical synapses	#7B7D7D
neuronal system	#7B7D7D
formation of rna pol ii elongation complex	#2ECC71
irs mediated signalling	#1B2631
raf independent mapk1 3 activation	#1B2631
mapk1 erk2 activation	#1B2631
sos mediated signalling	#1B2631
formation of the early elongation complex	#2ECC71
inhibition of replication initiation of damaged dna by rb1 e2f1	#E74C3C
e2f enabled inhibition of pre replication complex formation	#E74C3C
e2f mediated regulation of dna replication	#E74C3C
activation of bh3 only proteins	#F4F6F7
effects of pip2 hydrolysis	#7DCEA0
effects of pip2 hydrolysis	#1B2631
disinhibition of snare formation	#7DCEA0
gpvi mediated activation cascade	#7DCEA0
downstream signaling events of b cell receptor bcr	#7D6608
activation of ras in b cells	#7D6608
antiviral mechanism by ifn stimulated genes	#7D6608
prolactin receptor signaling	#7D6608
signaling by nodal	#154360
fertilization	#7F8C8D
meiotic synapsis	#7F8C8D
meiotic synapsis	#E74C3C
ros and rns production in phagocytes	#7D6608
signaling by fgfr in disease	#7FB3D5
signaling by erbb2	#1B2631
signaling by erbb2 in cancer	#7FB3D5
regulation of gene expression by hypoxia inducible factor	#512E5F
cellular response to hypoxia	#512E5F
constitutive signaling by ligand responsive egfr cancer variants	#7FB3D5
signaling by erbb4	#1B2631
cross presentation of particulate exogenous antigens phagosomes	#7D6608
antigen processing cross presentation	#7D6608
endosomal vacuolar pathway	#7D6608
cross presentation of soluble exogenous antigens endosomes	#7D6608
erythrocytes take up carbon dioxide and release oxygen	#2C3E50
methionine salvage pathway	#F39C12
erythrocytes take up oxygen and release carbon dioxide	#2C3E50
shc1 events in erbb2 signaling	#1B2631
pi3k events in erbb4 signaling	#1B2631
shc1 events in erbb4 signaling	#1B2631
nuclear signaling by erbb4	#1B2631
downregulation of erbb4 signaling	#1B2631
interleukin 7 signaling	#7D6608
developmental biology	#154360
mitochondrial protein import	#4D5656
cytokine signaling in immune system	#7D6608
adaptive immune system	#7D6608
spry regulation of fgf signaling	#1B2631
ca2 activated k channels	#7B7D7D
inwardly rectifying k channels	#7B7D7D
potassium channels	#7B7D7D
voltage gated potassium channels	#7B7D7D
tandem pore domain potassium channels	#7B7D7D
sperm motility and taxes	#7F8C8D
acrosome reaction and sperm oocyte membrane binding	#7F8C8D
grb7 events in erbb2 signaling	#1B2631
downregulation of erbb2 erbb3 signaling	#1B2631
transcription of e2f targets under negative control by dream complex	#E74C3C
transcription of e2f targets under negative control by p107 rbl1 and p130 rbl2 in complex with hdac1	#E74C3C
mitochondrial iron sulfur cluster biogenesis	#F39C12
rora activates gene expression	#C39BD3
bmal1 clock npas2 activates circadian gene expression	#C39BD3
abc transporters in lipid homeostasis	#2C3E50
elevation of cytosolic ca2 levels	#7DCEA0
activation of puma and translocation to mitochondria	#F4F6F7
apoptosis induced dna fragmentation	#F4F6F7
caspase activation via death receptors in the presence of ligand	#F4F6F7
extrinsic pathway of fibrin clot formation	#7DCEA0
intrinsic pathway of fibrin clot formation	#7DCEA0
common pathway of fibrin clot formation	#7DCEA0
formation of fibrin clot clotting cascade	#7DCEA0
inhibition of the proteolytic activity of apc c required for the onset of anaphase by mitotic spindle checkpoint components	#E74C3C
the citric acid tca cycle and respiratory electron transport	#F39C12
signaling by scf kit	#1B2631
regulation of kit signaling	#1B2631
regulation of signaling by nodal	#154360
collagen degradation	#145A32
translocation of slc2a4 glut4 to the plasma membrane	#85929E
beta defensins	#7D6608
defensins	#7D6608
alpha defensins	#7D6608
tetrahydrobiopterin bh4 synthesis recycling salvage and regulation	#F39C12
reproduction	#7F8C8D
degradation of the extracellular matrix	#145A32
extracellular matrix organization	#145A32
collagen formation	#145A32
reversible hydration of carbon dioxide	#F39C12
acyl chain remodelling of pc	#F39C12
acyl chain remodeling of cl	#F39C12
acyl chain remodelling of ps	#F39C12
acyl chain remodelling of pe	#F39C12
acyl chain remodeling of dag and tag	#F39C12
acyl chain remodelling of pi	#F39C12
acyl chain remodelling of pg	#F39C12
hydrolysis of lpc	#F39C12
synthesis of pg	#F39C12
synthesis of pa	#F39C12
synthesis of pc	#F39C12
glycerophospholipid biosynthesis	#F39C12
synthesis of pe	#F39C12
synthesis of pi	#F39C12
synthesis of pips at the er membrane	#F39C12
inositol phosphate metabolism	#F39C12
pi metabolism	#F39C12
phospholipid metabolism	#F39C12
dag and ip3 signaling	#1B2631
meiosis	#7F8C8D
meiosis	#E74C3C
cell cell communication	#D98880
signaling by activin	#1B2631
g0 and early g1	#E74C3C
phase ii conjugation of compounds	#F39C12
methylation	#F39C12
cytosolic sulfonation of small molecules	#F39C12
amino acid conjugation	#F39C12
glucuronidation	#F39C12
glutathione conjugation	#F39C12
elastic fibre formation	#145A32
fibronectin matrix formation	#145A32
polo like kinase mediated events	#E74C3C
eukaryotic translation elongation	#F7DC6F
signaling by notch	#1B2631
telomere maintenance	#E74C3C
gap junction trafficking and regulation	#85929E
metabolism of nucleotides	#F39C12
mitochondrial biogenesis	#BDC3C7
transport of the slbp dependant mature mrna	#784212
transport of mature mrnas derived from intronless transcripts	#784212
activation of matrix metalloproteinases	#145A32
recycling of bile acids and salts	#F39C12
removal of aminoterminal propeptides from gamma carboxylated proteins	#F7DC6F
gamma carboxylation transport and amino terminal cleavage of proteins	#F7DC6F
zbp1 dai mediated induction of type i ifns	#7D6608
irf3 mediated activation of type 1 ifn	#7D6608
sulfide oxidation to sulfate	#F39C12
degradation of cysteine and homocysteine	#F39C12
sulfur amino acid metabolism	#F39C12
hiv life cycle	#7FB3D5
budding and maturation of hiv virion	#7FB3D5
integration of provirus	#7FB3D5
early phase of hiv life cycle	#7FB3D5
golgi cisternae pericentriolar stack reorganization	#E74C3C
synthesis of glycosylphosphatidylinositol gpi	#F7DC6F
attachment of gpi anchor to upar	#F7DC6F
hiv infection	#7FB3D5
host interactions of hiv factors	#7FB3D5
glycosaminoglycan metabolism	#F39C12
post translational modification synthesis of gpi anchored proteins	#F7DC6F
respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins	#F39C12
formation of atp by chemiosmotic coupling	#F39C12
pka mediated phosphorylation of key metabolic factors	#F39C12
glucagon signaling in metabolic regulation	#F39C12
triglyceride catabolism	#F39C12
ampk inhibits chrebp transcriptional activation activity	#F39C12
integration of energy metabolism	#F39C12
chrebp activates metabolic gene expression	#F39C12
pp2a mediated dephosphorylation of key metabolic factors	#F39C12
keratan sulfate keratin metabolism	#F39C12
heparan sulfate heparin hs gag metabolism	#F39C12
gamma carboxylation hypusine formation and arylsulfatase activation	#F7DC6F
cell cycle	#E74C3C
signaling by egfr in cancer	#7FB3D5
pka activation in glucagon signalling	#F39C12
2 ltr circle formation	#7FB3D5
nef mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	#7FB3D5
nef mediated downregulation of mhc class i complex cell surface expression	#7FB3D5
nef and signal transduction	#7FB3D5
the role of nef in hiv 1 replication and disease pathogenesis	#7FB3D5
collagen biosynthesis and modifying enzymes	#145A32
mtor signalling	#1B2631
regulation of cholesterol biosynthesis by srebp srebf	#F39C12
synthesis of pips at the plasma membrane	#F39C12
synthesis of pips at the golgi membrane	#F39C12
synthesis of pips at the early endosome membrane	#F39C12
synthesis of pips at the late endosome membrane	#F39C12
sphingolipid de novo biosynthesis	#F39C12
glycosphingolipid metabolism	#F39C12
myd88 independent tlr4 cascade	#7D6608
mitochondrial uncoupling	#F39C12
mtorc1 mediated signalling	#1B2631
the activation of arylsulfatases	#F7DC6F
signaling by ntrks	#1B2631
complement cascade	#7D6608
lectin pathway of complement activation	#7D6608
initial triggering of complement	#7D6608
terminal pathway of complement	#7D6608
creation of c4 and c2 activators	#7D6608
signalling to ras	#1B2631
hiv transcription initiation	#7FB3D5
hiv transcription elongation	#7FB3D5
transcription of the hiv genome	#7FB3D5
abortive elongation of hiv 1 transcript in the absence of tat	#7FB3D5
hiv elongation arrest and recovery	#7FB3D5
nef mediated cd4 down regulation	#7FB3D5
the fatty acid cycling model	#F39C12
trafficking and processing of endosomal tlr	#7D6608
toll like receptor 9 tlr9 cascade	#7D6608
toll like receptor tlr1 tlr2 cascade	#7D6608
innate immune system	#7D6608
influenza infection	#7FB3D5
export of viral ribonucleoproteins from nucleus	#7FB3D5
ns1 mediated effects on host pathways	#7FB3D5
viral messenger rna synthesis	#7FB3D5
nod1 2 signaling pathway	#7D6608
nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways	#7D6608
neurotoxicity of clostridium toxins	#7FB3D5
toll like receptor cascades	#7D6608
ticam1 rip1 mediated ikk complex recruitment	#7D6608
ddx58 ifih1 mediated induction of interferon alpha beta	#7D6608
prolonged erk activation events	#1B2631
adenylate cyclase activating pathway	#1B2631
adenylate cyclase inhibitory pathway	#1B2631
adenylate cyclase inhibitory pathway	#7B7D7D
regulation of glucokinase by glucokinase regulatory protein	#F39C12
signaling by tgf beta receptor complex	#1B2631
arms mediated activation	#1B2631
p38mapk events	#1B2631
telomere extension by telomerase	#E74C3C
alternative complement activation	#7D6608
apc c cdc20 mediated degradation of cyclin b	#E74C3C
scf beta trcp mediated degradation of emi1	#E74C3C
apc c mediated degradation of cell cycle proteins	#E74C3C
apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	#E74C3C
transport and synthesis of paps	#F39C12
glutathione synthesis and recycling	#F39C12
polymerase switching on the c strand of the telomere	#E74C3C
processive synthesis on the c strand of the telomere	#E74C3C
telomere c strand lagging strand synthesis	#E74C3C
telomere c strand synthesis initiation	#E74C3C
activation of c3 and c5	#7D6608
plasma lipoprotein assembly remodeling and clearance	#2C3E50
assembly of the hiv virion	#7FB3D5
interactions of vpr with host cellular proteins	#7FB3D5
activation of atr in response to replication stress	#E74C3C
conversion from apc c cdc20 to apc c cdh1 in late anaphase	#E74C3C
phosphorylation of the apc c	#E74C3C
phosphorylation of emi1	#E74C3C
unwinding of dna	#E74C3C
unwinding of dna	#16A085
conjugation of benzoate with glycine	#F39C12
interactions of rev with host cellular proteins	#7FB3D5
retrograde neurotrophin signalling	#1B2631
signaling by egfr	#1B2631
chondroitin sulfate dermatan sulfate metabolism	#F39C12
apc cdc20 mediated degradation of nek2a	#E74C3C
srp dependent cotranslational protein targeting to membrane	#F7DC6F
darpp 32 events	#1B2631
gab1 signalosome	#1B2631
shc1 events in egfr signaling	#1B2631
apobec3g mediated resistance to hiv 1 infection	#7FB3D5
nuclear import of rev protein	#7FB3D5
extension of telomeres	#E74C3C
rip mediated nfkb activation via zbp1	#7D6608
serotonin neurotransmitter release cycle	#7B7D7D
norepinephrine neurotransmitter release cycle	#7B7D7D
acetylcholine binding and downstream events	#7B7D7D
nef mediated cd8 down regulation	#7FB3D5
egfr downregulation	#1B2631
sting mediated induction of host immune responses	#7D6608
cytosolic sensors of pathogen associated dna	#7D6608
signaling by cytosolic fgfr1 fusion mutants	#7FB3D5
fgfr1 mutant receptor activation	#7FB3D5
fgfr2 mutant receptor activation	#7FB3D5
organelle biogenesis and maintenance	#BDC3C7
synthesis of pyrophosphates in the cytosol	#F39C12
synthesis of ip2 ip and ins in the cytosol	#F39C12
synthesis of ip3 and ip4 in the cytosol	#F39C12
regulation of beta cell development	#154360
downstream signal transduction	#1B2631
signaling by pdgf	#1B2631
activation of trka receptors	#1B2631
ngf independant trka activation	#1B2631
scf skp2 mediated degradation of p27 p21	#E74C3C
signalling to erks	#1B2631
signalling to p38 via rit and rin	#1B2631
digestion of dietary carbohydrate	#3498DB
cellular hexose transport	#2C3E50
metabolism of porphyrins	#F39C12
heme biosynthesis	#F39C12
heme degradation	#F39C12
signaling by fgfr	#1B2631
fgfr3 ligand binding and activation	#1B2631
fgfr2 ligand binding and activation	#1B2631
fgfr1 ligand binding and activation	#1B2631
fgfr1b ligand binding and activation	#1B2631
fgfr3b ligand binding and activation	#1B2631
fgfr1c ligand binding and activation	#1B2631
fgfr2c ligand binding and activation	#1B2631
fgfr2b ligand binding and activation	#1B2631
gap junction assembly	#85929E
transport of connexons to the plasma membrane	#85929E
gap junction degradation	#85929E
pre notch processing in the endoplasmic reticulum	#1B2631
pre notch processing in golgi	#1B2631
pre notch expression and processing	#1B2631
cholesterol biosynthesis	#F39C12
snrnp assembly	#784212
synthesis of bile acids and bile salts	#F39C12
digestion of dietary lipid	#3498DB
androgen biosynthesis	#F39C12
estrogen biosynthesis	#F39C12
synthesis of bile acids and bile salts via 7alpha hydroxycholesterol	#F39C12
p75ntr signals via nf kb	#1B2631
nrage signals death through jnk	#1B2631
p75ntr negatively regulates cell cycle via sc1	#1B2631
regulated proteolysis of p75ntr	#1B2631
p75ntr regulates axonogenesis	#1B2631
p75 ntr receptor mediated signalling	#1B2631
synthesis of bile acids and bile salts via 24 hydroxycholesterol	#F39C12
synthesis of bile acids and bile salts via 27 hydroxycholesterol	#F39C12
mineralocorticoid biosynthesis	#F39C12
glucocorticoid biosynthesis	#F39C12
bile acid and bile salt metabolism	#F39C12
signaling by vegf	#1B2631
vegf ligand receptor interactions	#1B2631
degradation of beta catenin by the destruction complex	#1B2631
rho gtpase effectors	#1B2631
signaling by wnt	#1B2631
metabolism of steroid hormones	#F39C12
pregnenolone biosynthesis	#F39C12
beta catenin phosphorylation cascade	#1B2631
grb2 events in erbb2 signaling	#1B2631
pi3k events in erbb2 signaling	#1B2631
cobalamin cbl vitamin b12 transport and metabolism	#F39C12
metabolism of folate and pterines	#F39C12
biotin transport and metabolism	#F39C12
coenzyme a biosynthesis	#F39C12
vitamin d calciferol metabolism	#F39C12
nicotinate metabolism	#F39C12
vitamin b1 thiamin metabolism	#F39C12
vitamin c ascorbate metabolism	#F39C12
vitamin b2 riboflavin metabolism	#F39C12
metabolism of water soluble vitamins and cofactors	#F39C12
metabolism of vitamins and cofactors	#F39C12
a tetrasaccharide linker sequence is required for gag synthesis	#F39C12
nicotinamide salvaging	#F39C12
signaling by notch1	#1B2631
signaling by notch2	#1B2631
pi3k akt activation	#1B2631
akt phosphorylates targets in the cytosol	#1B2631
akt phosphorylates targets in the nucleus	#1B2631
nuclear events kinase and transcription factor activation	#1B2631
erk mapk targets	#1B2631
erk mapk targets	#7D6608
immunoregulatory interactions between a lymphoid and a non lymphoid cell	#7D6608
vitamin b5 pantothenate metabolism	#F39C12
negative regulation of the pi3k akt network	#1B2631
creb phosphorylation	#1B2631
creb phosphorylation	#7D6608
er to golgi anterograde transport	#F7DC6F
er to golgi anterograde transport	#85929E
membrane trafficking	#85929E
trans golgi network vesicle budding	#85929E
carnitine metabolism	#F39C12
signaling by bmp	#1B2631
signaling by alk	#1B2631
tcf dependent signaling in response to wnt	#1B2631
wnt mediated activation of dvl	#1B2631
formation of the beta catenin tcf transactivating complex	#1B2631
g protein activation	#1B2631
metabolism of nitric oxide nos3 activation and regulation	#F39C12
assembly of collagen fibrils and other multimeric structures	#145A32
metabolism of angiotensinogen to angiotensins	#F7DC6F
keratan sulfate biosynthesis	#F39C12
keratan sulfate degradation	#F39C12
chondroitin sulfate biosynthesis	#F39C12
dermatan sulfate biosynthesis	#F39C12
hs gag biosynthesis	#F39C12
tcr signaling	#7D6608
hs gag degradation	#F39C12
cs ds degradation	#F39C12
generation of second messenger molecules	#7D6608
calcineurin activates nfat	#7D6608
erks are inactivated	#1B2631
erks are inactivated	#7D6608
