Disease	pathway	sex	alteration	colors	id
Ulcerative colitis	host interactions of hiv factors	common	up	#19787F	1
Ulcerative colitis	signaling by the b cell receptor bcr	common	up	#19787F	1
Ulcerative colitis	cross presentation of soluble exogenous antigens endosomes	common	up	#19787F	1
Ulcerative colitis	metabolism of polyamines	common	up	#19787F	1
Ulcerative colitis	apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	common	up	#19787F	1
Ulcerative colitis	antigen processing cross presentation	common	up	#19787F	1
Ulcerative colitis	apc c mediated degradation of cell cycle proteins	common	up	#19787F	1
Ulcerative colitis	separation of sister chromatids	common	up	#19787F	1
Ulcerative colitis	runx1 regulates transcription of genes involved in differentiation of hscs	common	up	#19787F	1
Ulcerative colitis	the role of gtse1 in g2 m progression after g2 checkpoint	common	up	#19787F	1
Ulcerative colitis	dna replication	common	up	#19787F	1
Ulcerative colitis	hedgehog ligand biogenesis	common	up	#19787F	1
Ulcerative colitis	tnfr2 non canonical nf kb pathway	common	up	#19787F	1
Ulcerative colitis	signaling by interleukins	common	up	#19787F	1
Ulcerative colitis	switching of origins to a post replicative state	common	up	#19787F	1
Ulcerative colitis	mitotic metaphase and anaphase	common	up	#19787F	1
Ulcerative colitis	dna replication pre initiation	common	up	#19787F	1
Ulcerative colitis	orc1 removal from chromatin	common	up	#19787F	1
Ulcerative colitis	synthesis of dna	common	up	#19787F	1
Ulcerative colitis	defective cftr causes cystic fibrosis	common	up	#19787F	1
Ulcerative colitis	scf beta trcp mediated degradation of emi1	common	up	#19787F	1
Ulcerative colitis	negative regulation of notch4 signaling	common	up	#19787F	1
Ulcerative colitis	dectin 1 mediated noncanonical nf kb signaling	common	up	#19787F	1
Ulcerative colitis	integrin cell surface interactions	common	up	#19787F	1
Ulcerative colitis	auf1 hnrnp d0 binds and destabilizes mrna	common	up	#19787F	1
Ulcerative colitis	interferon alpha beta signaling	common	up	#19787F	1
Ulcerative colitis	abc transporter disorders	common	up	#19787F	1
Ulcerative colitis	collagen degradation	common	up	#19787F	1
Ulcerative colitis	interleukin 1 family signaling	common	up	#19787F	1
Ulcerative colitis	regulation of runx3 expression and activity	common	up	#19787F	1
Ulcerative colitis	complement cascade	common	up	#19787F	1
Ulcerative colitis	stabilization of p53	common	up	#19787F	1
Ulcerative colitis	regulation of mrna stability by proteins that bind au rich elements	common	up	#19787F	1
Ulcerative colitis	degradation of dvl	common	up	#19787F	1
Ulcerative colitis	unfolded protein response upr	common	up	#19787F	1
Ulcerative colitis	m phase	common	up	#19787F	1
Ulcerative colitis	downstream signaling events of b cell receptor bcr	common	up	#19787F	1
Ulcerative colitis	fceri mediated nf kb activation	common	up	#19787F	1
Ulcerative colitis	clec7a dectin 1 signaling	common	up	#19787F	1
Ulcerative colitis	cell cycle checkpoints	common	up	#19787F	1
Ulcerative colitis	scf skp2 mediated degradation of p27 p21	common	up	#19787F	1
Ulcerative colitis	uch proteinases	common	up	#19787F	1
Ulcerative colitis	degradation of axin	common	up	#19787F	1
Ulcerative colitis	interleukin 1 signaling	common	up	#19787F	1
Ulcerative colitis	pcp ce pathway	common	up	#19787F	1
Ulcerative colitis	asymmetric localization of pcp proteins	common	up	#19787F	1
Ulcerative colitis	g1 s dna damage checkpoints	common	up	#19787F	1
Ulcerative colitis	activation of matrix metalloproteinases	common	up	#19787F	1
Ulcerative colitis	ire1alpha activates chaperones	common	up	#19787F	1
Ulcerative colitis	c type lectin receptors clrs	common	up	#19787F	1
Ulcerative colitis	degradation of gli1 by the proteasome	common	up	#19787F	1
Ulcerative colitis	regulation of runx2 expression and activity	common	up	#19787F	1
Ulcerative colitis	regulation of ras by gaps	common	up	#19787F	1
Ulcerative colitis	interleukin 4 and interleukin 13 signaling	common	up	#19787F	1
Ulcerative colitis	interferon signaling	common	up	#19787F	1
Ulcerative colitis	g2 m checkpoints	common	up	#19787F	1
Ulcerative colitis	cellular response to hypoxia	common	up	#19787F	1
Ulcerative colitis	tcr signaling	common	up	#19787F	1
Ulcerative colitis	regulation of pten stability and activity	common	up	#19787F	1
Ulcerative colitis	nuclear events mediated by nfe2l2	common	up	#19787F	1
Ulcerative colitis	interleukin 10 signaling	common	up	#19787F	1
Ulcerative colitis	fc epsilon receptor fceri signaling	common	up	#19787F	1
Ulcerative colitis	mitotic g2 g2 m phases	common	up	#19787F	1
Ulcerative colitis	chemokine receptors bind chemokines	common	up	#19787F	1
Ulcerative colitis	interleukin 12 family signaling	common	up	#19787F	1
Ulcerative colitis	beta catenin independent wnt signaling	common	up	#19787F	1
Ulcerative colitis	resolution of sister chromatid cohesion	common	up	#19787F	1
Ulcerative colitis	cyclin a cdk2 associated events at s phase entry	common	up	#19787F	1
Ulcerative colitis	hedgehog on state	common	up	#19787F	1
Ulcerative colitis	cargo concentration in the er	common	up	#19787F	1
Ulcerative colitis	collagen formation	women	up	#B6453A	1
Ulcerative colitis	assembly of collagen fibrils and other multimeric structures	women	up	#B6453A	1
Ulcerative colitis	extracellular matrix organization	women	up	#B6453A	1
Ulcerative colitis	collagen biosynthesis and modifying enzymes	women	up	#B6453A	1
Ulcerative colitis	antigen activates b cell receptor bcr leading to generation of second messengers	women	up	#B6453A	1
Ulcerative colitis	glycolysis	women	up	#B6453A	1
Ulcerative colitis	ecm proteoglycans	women	up	#B6453A	1
Ulcerative colitis	interactions of rev with host cellular proteins	women	up	#B6453A	1
Ulcerative colitis	neutrophil degranulation	women	up	#B6453A	1
Ulcerative colitis	nuclear import of rev protein	women	up	#B6453A	1
Ulcerative colitis	regulation of insulin like growth factor igf transport and uptake by insulin like growth factor binding proteins igfbps	women	up	#B6453A	1
Ulcerative colitis	degradation of the extracellular matrix	women	up	#B6453A	1
Ulcerative colitis	collagen chain trimerization	women	up	#B6453A	1
Ulcerative colitis	cell cycle mitotic	women	up	#B6453A	1
Ulcerative colitis	sumoylation of dna replication proteins	women	up	#B6453A	1
Ulcerative colitis	laminin interactions	women	up	#B6453A	1
Ulcerative colitis	immunoregulatory interactions between a lymphoid and a non lymphoid cell	women	up	#B6453A	1
Ulcerative colitis	nuclear envelope breakdown	women	up	#B6453A	1
Ulcerative colitis	s phase	women	up	#B6453A	1
Ulcerative colitis	nuclear pore complex npc disassembly	women	up	#B6453A	1
Ulcerative colitis	gpvi mediated activation cascade	women	up	#B6453A	1
Ulcerative colitis	snrnp assembly	women	up	#B6453A	1
Ulcerative colitis	ros and rns production in phagocytes	women	up	#B6453A	1
Ulcerative colitis	regulation of glucokinase by glucokinase regulatory protein	women	up	#B6453A	1
Ulcerative colitis	keap1 nfe2l2 pathway	women	up	#B6453A	1
Ulcerative colitis	met activates ptk2 signaling	women	up	#B6453A	1
Ulcerative colitis	mitotic g1 phase and g1 s transition	women	up	#B6453A	1
Ulcerative colitis	sumoylation of ubiquitinylation proteins	women	up	#B6453A	1
