Disease	pathway	sex	alteration	colors	id
K51	host interactions of hiv factors	common	up	#19787F	1
K51	signaling by the b cell receptor bcr	common	up	#19787F	1
K51	cross presentation of soluble exogenous antigens endosomes	common	up	#19787F	1
K51	metabolism of polyamines	common	up	#19787F	1
K51	apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	common	up	#19787F	1
K51	antigen processing cross presentation	common	up	#19787F	1
K51	apc c mediated degradation of cell cycle proteins	common	up	#19787F	1
K51	separation of sister chromatids	common	up	#19787F	1
K51	runx1 regulates transcription of genes involved in differentiation of hscs	common	up	#19787F	1
K51	the role of gtse1 in g2 m progression after g2 checkpoint	common	up	#19787F	1
K51	dna replication	common	up	#19787F	1
K51	hedgehog ligand biogenesis	common	up	#19787F	1
K51	tnfr2 non canonical nf kb pathway	common	up	#19787F	1
K51	signaling by interleukins	common	up	#19787F	1
K51	switching of origins to a post replicative state	common	up	#19787F	1
K51	mitotic metaphase and anaphase	common	up	#19787F	1
K51	dna replication pre initiation	common	up	#19787F	1
K51	orc1 removal from chromatin	common	up	#19787F	1
K51	synthesis of dna	common	up	#19787F	1
K51	defective cftr causes cystic fibrosis	common	up	#19787F	1
K51	scf beta trcp mediated degradation of emi1	common	up	#19787F	1
K51	negative regulation of notch4 signaling	common	up	#19787F	1
K51	dectin 1 mediated noncanonical nf kb signaling	common	up	#19787F	1
K51	integrin cell surface interactions	common	up	#19787F	1
K51	auf1 hnrnp d0 binds and destabilizes mrna	common	up	#19787F	1
K51	interferon alpha beta signaling	common	up	#19787F	1
K51	abc transporter disorders	common	up	#19787F	1
K51	collagen degradation	common	up	#19787F	1
K51	interleukin 1 family signaling	common	up	#19787F	1
K51	regulation of runx3 expression and activity	common	up	#19787F	1
K51	complement cascade	common	up	#19787F	1
K51	stabilization of p53	common	up	#19787F	1
K51	regulation of mrna stability by proteins that bind au rich elements	common	up	#19787F	1
K51	degradation of dvl	common	up	#19787F	1
K51	unfolded protein response upr	common	up	#19787F	1
K51	m phase	common	up	#19787F	1
K51	downstream signaling events of b cell receptor bcr	common	up	#19787F	1
K51	fceri mediated nf kb activation	common	up	#19787F	1
K51	clec7a dectin 1 signaling	common	up	#19787F	1
K51	cell cycle checkpoints	common	up	#19787F	1
K51	scf skp2 mediated degradation of p27 p21	common	up	#19787F	1
K51	uch proteinases	common	up	#19787F	1
K51	degradation of axin	common	up	#19787F	1
K51	interleukin 1 signaling	common	up	#19787F	1
K51	pcp ce pathway	common	up	#19787F	1
K51	asymmetric localization of pcp proteins	common	up	#19787F	1
K51	g1 s dna damage checkpoints	common	up	#19787F	1
K51	activation of matrix metalloproteinases	common	up	#19787F	1
K51	ire1alpha activates chaperones	common	up	#19787F	1
K51	c type lectin receptors clrs	common	up	#19787F	1
K51	degradation of gli1 by the proteasome	common	up	#19787F	1
K51	regulation of runx2 expression and activity	common	up	#19787F	1
K51	regulation of ras by gaps	common	up	#19787F	1
K51	interleukin 4 and interleukin 13 signaling	common	up	#19787F	1
K51	interferon signaling	common	up	#19787F	1
K51	g2 m checkpoints	common	up	#19787F	1
K51	cellular response to hypoxia	common	up	#19787F	1
K51	tcr signaling	common	up	#19787F	1
K51	regulation of pten stability and activity	common	up	#19787F	1
K51	nuclear events mediated by nfe2l2	common	up	#19787F	1
K51	interleukin 10 signaling	common	up	#19787F	1
K51	fc epsilon receptor fceri signaling	common	up	#19787F	1
K51	mitotic g2 g2 m phases	common	up	#19787F	1
K51	chemokine receptors bind chemokines	common	up	#19787F	1
K51	interleukin 12 family signaling	common	up	#19787F	1
K51	beta catenin independent wnt signaling	common	up	#19787F	1
K51	resolution of sister chromatid cohesion	common	up	#19787F	1
K51	cyclin a cdk2 associated events at s phase entry	common	up	#19787F	1
K51	hedgehog on state	common	up	#19787F	1
K51	cargo concentration in the er	common	up	#19787F	1
K51	collagen formation	women	up	#B6453A	1
K51	assembly of collagen fibrils and other multimeric structures	women	up	#B6453A	1
K51	extracellular matrix organization	women	up	#B6453A	1
K51	collagen biosynthesis and modifying enzymes	women	up	#B6453A	1
K51	antigen activates b cell receptor bcr leading to generation of second messengers	women	up	#B6453A	1
K51	glycolysis	women	up	#B6453A	1
K51	ecm proteoglycans	women	up	#B6453A	1
K51	interactions of rev with host cellular proteins	women	up	#B6453A	1
K51	neutrophil degranulation	women	up	#B6453A	1
K51	nuclear import of rev protein	women	up	#B6453A	1
K51	regulation of insulin like growth factor igf transport and uptake by insulin like growth factor binding proteins igfbps	women	up	#B6453A	1
K51	degradation of the extracellular matrix	women	up	#B6453A	1
K51	collagen chain trimerization	women	up	#B6453A	1
K51	cell cycle mitotic	women	up	#B6453A	1
K51	sumoylation of dna replication proteins	women	up	#B6453A	1
K51	laminin interactions	women	up	#B6453A	1
K51	immunoregulatory interactions between a lymphoid and a non lymphoid cell	women	up	#B6453A	1
K51	nuclear envelope breakdown	women	up	#B6453A	1
K51	s phase	women	up	#B6453A	1
K51	nuclear pore complex npc disassembly	women	up	#B6453A	1
K51	gpvi mediated activation cascade	women	up	#B6453A	1
K51	snrnp assembly	women	up	#B6453A	1
K51	ros and rns production in phagocytes	women	up	#B6453A	1
K51	regulation of glucokinase by glucokinase regulatory protein	women	up	#B6453A	1
K51	keap1 nfe2l2 pathway	women	up	#B6453A	1
K51	met activates ptk2 signaling	women	up	#B6453A	1
K51	mitotic g1 phase and g1 s transition	women	up	#B6453A	1
K51	sumoylation of ubiquitinylation proteins	women	up	#B6453A	1
K51	binding and uptake of ligands by scavenger receptors	women	up	#B6453A	1
K51	ncam1 interactions	women	up	#B6453A	1
K51	elastic fibre formation	women	up	#B6453A	1
K51	the role of nef in hiv 1 replication and disease pathogenesis	women	up	#B6453A	1
K51	signaling by notch4	women	up	#B6453A	1
K51	interleukin 12 signaling	women	up	#B6453A	1
K51	transcriptional regulation by runx3	women	up	#B6453A	1
K51	antiviral mechanism by ifn stimulated genes	women	up	#B6453A	1
K51	transcriptional regulation by runx1	women	up	#B6453A	1
K51	pd 1 signaling	women	up	#B6453A	1
K51	dectin 2 family	women	up	#B6453A	1
K51	tnfs bind their physiological receptors	women	up	#B6453A	1
K51	cell surface interactions at the vascular wall	women	up	#B6453A	1
K51	antimicrobial peptides	women	up	#B6453A	1
K51	sars cov 2 activates modulates innate and adaptive immune responses	women	up	#B6453A	1
K51	interleukin 2 family signaling	women	up	#B6453A	1
K51	rho gtpases activate formins	women	up	#B6453A	1
K51	class i mhc mediated antigen processing presentation	women	up	#B6453A	1
K51	platelet activation signaling and aggregation	women	up	#B6453A	1
K51	chondroitin sulfate dermatan sulfate metabolism	women	up	#B6453A	1
K51	detoxification of reactive oxygen species	women	up	#B6453A	1
K51	hemostasis	women	up	#B6453A	1
K51	interferon gamma signaling	women	up	#B6453A	1
K51	mhc class ii antigen presentation	women	up	#B6453A	1
K51	non integrin membrane ecm interactions	women	up	#B6453A	1
K51	meiotic recombination	women	up	#B6453A	1
K51	glycosaminoglycan metabolism	women	up	#B6453A	1
K51	syndecan interactions	women	up	#B6453A	1
K51	perk regulates gene expression	women	up	#B6453A	1
K51	dna strand elongation	women	up	#B6453A	1
K51	platelet aggregation plug formation	women	up	#B6453A	1
K51	response to elevated platelet cytosolic ca2	women	up	#B6453A	1
K51	signaling by scf kit	women	up	#B6453A	1
K51	anti inflammatory response favouring leishmania parasite infection	women	up	#B6453A	1
K51	interleukin 3 interleukin 5 and gm csf signaling	women	up	#B6453A	1
K51	nef mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	women	up	#B6453A	1
K51	interleukin 37 signaling	women	up	#B6453A	1
K51	potential therapeutics for sars	women	up	#B6453A	1
K51	signaling by csf3 g csf	women	up	#B6453A	1
K51	sars cov infections	women	up	#B6453A	1
K51	met promotes cell motility	women	up	#B6453A	1
K51	leishmania infection	women	up	#B6453A	1
K51	fceri mediated ca 2 mobilization	women	up	#B6453A	1
K51	inactivation of csf3 g csf signaling	women	up	#B6453A	1
K51	er to golgi anterograde transport	men	up	#4A75A9	1
K51	copii mediated vesicle transport	men	up	#4A75A9	1
K51	asparagine n linked glycosylation	men	up	#4A75A9	1
K51	programmed cell death	men	up	#4A75A9	1
K51	raf independent mapk1 3 activation	men	up	#4A75A9	1
