Disease1	Disease2	weight	comorbid	colors	pathway
Trachoma	Oral dysplasia	-0.595144137496949	no	#B64539	Autophagy
Dengue fever	Systemic lupus erythematosus	0.712426997474432	no	#4A74A9	Autophagy
Dengue fever	Septic Shock	0.760304699409305	no	#4A74A9	Autophagy
Hepatitis C	Kidney cancer	0.705428651749196	no	#4A74A9	Autophagy
Nasopharingeal cancer	Irritable bowel syndrome	0.733844858832488	no	#4A74A9	Autophagy
Oral cavity cancer	Kidney cancer	0.549291890209633	no	#4A74A9	Autophagy
Oral cavity cancer	Thyroid cancer	0.775329578504647	no	#4A74A9	Autophagy
Gastric cancer	Colon cancer	0.720517348528385	no	#4A74A9	Autophagy
Gastric cancer	Pancreatic cancer	0.805638977834634	no	#4A74A9	Autophagy
Colon cancer	Ulcerative colitis	0.70784368130494	no	#4A74A9	Autophagy
Liver cancer	Pancreatic cancer	0.884869089456805	yes	#4A74A9	Autophagy
Liver cancer	Lung cancer	0.63524587828731	no	#4A74A9	Autophagy
Pancreatic cancer	Endometriosis	-0.793932437884395	no	#B64539	Autophagy
Lung cancer	Breast cancer	0.78213334351661	no	#4A74A9	Autophagy
Lung cancer	Ovary cancer	0.729918489523942	no	#4A74A9	Autophagy
Lung cancer	Lymphoid leukemia	0.706013242212739	no	#4A74A9	Autophagy
Breast cancer	Ovary cancer	0.735573691781827	no	#4A74A9	Autophagy
Breast cancer	Lymphoid leukemia	0.612161564457175	no	#4A74A9	Autophagy
Breast cancer	Other systemic involvement of connective tissue	-0.813266958460807	no	#B64539	Autophagy
Cervix cancer	Chronic sinusitis	-0.541310626626369	no	#B64539	Autophagy
Brain cancer	Alzheimer's disease	0.738944005769637	no	#4A74A9	Autophagy
Thyroid cancer	Cystitis	0.661657311411195	no	#4A74A9	Autophagy
Lymphoid leukemia	Smoker	-0.992578980090877	no	#B64539	Autophagy
Polycythemia vera	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.995273828185437	yes	#4A74A9	Autophagy
Polycythemia vera	Primary myelofibrosis	0.894786051398795	yes	#4A74A9	Autophagy
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Job's syndrome	0.695906448883334	no	#4A74A9	Autophagy
Job's syndrome	Septic Shock	0.701890281250856	no	#4A74A9	Autophagy
Other and unspecified metabolic disorders	Smoker	-0.98909742215507	no	#B64539	Autophagy
Cardiomyopathy	Ulcerative colitis	-0.984329876434913	no	#B64539	Autophagy
Oral dysplasia	Ulcerative colitis	0.936644711966935	no	#4A74A9	Autophagy
Oral dysplasia	Turner's syndrome	-0.293205430563928	no	#B64539	Autophagy
Ulcerative colitis	Irritable bowel syndrome	0.983826463444361	yes	#4A74A9	Autophagy
Ulcerative colitis	Psoriasis	0.81863763432876	no	#4A74A9	Autophagy
Irritable bowel syndrome	Psoriasis	0.813262760240305	no	#4A74A9	Autophagy
Irritable bowel syndrome	Cystitis	0.768644893853641	no	#4A74A9	Autophagy
Systemic lupus erythematosus	Septic Shock	0.780611718548554	no	#4A74A9	Autophagy
Uremia	Endometriosis	0.942612186838132	no	#4A74A9	Autophagy
Endometriosis	Turner's syndrome	0.695348952980689	no	#4A74A9	Autophagy
Trachoma	Gastric cancer	0.0437351058796719	no	#4A74A9	Cell Cycle
Trachoma	Lung cancer	0.266099402428602	no	#4A74A9	Cell Cycle
Trachoma	Breast cancer	0.362303238936661	no	#4A74A9	Cell Cycle
Trachoma	Ovary cancer	0.493685228876242	no	#4A74A9	Cell Cycle
Trachoma	Thyroid cancer	0.749403060954696	no	#4A74A9	Cell Cycle
Trachoma	Job's syndrome	0.424908656305346	no	#4A74A9	Cell Cycle
Trachoma	Ulcerative colitis	0.496842236507758	no	#4A74A9	Cell Cycle
Trachoma	Irritable bowel syndrome	0.7147593716231	no	#4A74A9	Cell Cycle
Trachoma	Psoriasis	0.459620199007487	no	#4A74A9	Cell Cycle
Trachoma	Systemic lupus erythematosus	0.524963492188487	no	#4A74A9	Cell Cycle
Trachoma	Uremia	0.567317104720111	no	#4A74A9	Cell Cycle
Trachoma	Cystitis	0.778419975420773	no	#4A74A9	Cell Cycle
Trachoma	Endometriosis	0.600355232028681	no	#4A74A9	Cell Cycle
Trachoma	Turner's syndrome	0.682798373423434	no	#4A74A9	Cell Cycle
Trachoma	Septic Shock	0.61671899802047	no	#4A74A9	Cell Cycle
Dengue fever	Gastric cancer	0.366011214000176	no	#4A74A9	Cell Cycle
Dengue fever	Liver cancer	0.488287458284638	no	#4A74A9	Cell Cycle
Dengue fever	Lung cancer	0.50521951147342	no	#4A74A9	Cell Cycle
Dengue fever	Breast cancer	0.585339910892867	no	#4A74A9	Cell Cycle
