Disease1	Disease2	weight	comorbid	colors	pathway
Trachoma	Hepatitis B	0.177689596440267	no	#4A74A9	Autophagy
Trachoma	Thyroid cancer	0.206496409054437	no	#4A74A9	Autophagy
Trachoma	Irritable bowel syndrome	0.237220988519955	no	#4A74A9	Autophagy
Trachoma	Klinefelter's syndrome	0.127324696781102	no	#4A74A9	Autophagy
Hepatitis C	Myeloid leukemia	0.0363411239858058	no	#4A74A9	Autophagy
Hepatitis C	Septic Shock	-0.0626843844885019	no	#B64539	Autophagy
Hepatitis B	Aspergillus colonization of lung allograft	0.164404781290526	no	#4A74A9	Autophagy
Hepatitis B	Sarcoidosis	0.181006551779283	no	#4A74A9	Autophagy
Hepatitis B	Bipolar disorder	-0.0296761143586787	no	#B64539	Autophagy
Aspergillus colonization of lung allograft	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.126477551604353	no	#4A74A9	Autophagy
Nasopharingeal cancer	Axial Spondyloarthropathy	-0.0867412479265526	no	#B64539	Autophagy
Oral cavity cancer	Thyroid cancer	0.314700838983052	no	#4A74A9	Autophagy
Oral cavity cancer	Oral dysplasia	0.368899112074638	no	#4A74A9	Autophagy
Esophageal cancer	Colon cancer	0.223970473229144	no	#4A74A9	Autophagy
Esophageal cancer	Lung cancer	0.40730152815851	no	#4A74A9	Autophagy
Esophageal cancer	Psoriasis	0.246433731665935	no	#4A74A9	Autophagy
Gastric cancer	Colon cancer	0.209639709038124	no	#4A74A9	Autophagy
Gastric cancer	Pancreatic cancer	0.162244201592373	no	#4A74A9	Autophagy
Gastric cancer	Sarcoidosis	-0.164795222136633	no	#B64539	Autophagy
Colon cancer	JMML	0.198484219964128	no	#4A74A9	Autophagy
Colon cancer	Sarcoidosis	-0.181300606096727	no	#B64539	Autophagy
Colon cancer	Axial Spondyloarthropathy	-0.157599346853332	no	#B64539	Autophagy
Colon cancer	Septic Shock	-0.135733052502621	no	#B64539	Autophagy
Liver cancer	Lung cancer	0.297709904867904	no	#4A74A9	Autophagy
Liver cancer	Adrenal cancer	0.248459023062909	no	#4A74A9	Autophagy
Liver cancer	Alcoholic liver disease	0.256515112268152	yes	#4A74A9	Autophagy
Pancreatic cancer	Crohn's disease	0.166741982339414	no	#4A74A9	Autophagy
Lung cancer	Mesothelioma	0.386105359941216	yes	#4A74A9	Autophagy
Lung cancer	Crohn's disease	0.254349136812827	no	#4A74A9	Autophagy
Rhabdoid cancer	Brain cancer	1	no	#4A74A9	Autophagy
Rhabdoid cancer	Parkinson's disease	0.349034583807921	no	#4A74A9	Autophagy
Kidney cancer	Uremia	-0.138285841663245	no	#B64539	Autophagy
Bladder cancer	Job's syndrome	0.233462098850787	no	#4A74A9	Autophagy
Bladder cancer	Septic Shock	0.192854565529782	no	#4A74A9	Autophagy
Brain cancer	Schizophrenia	0.062364731222284	no	#4A74A9	Autophagy
Brain cancer	Parkinson's disease	0.305483836422745	no	#4A74A9	Autophagy
Brain cancer	Alzheimer's disease	0.280422047847991	no	#4A74A9	Autophagy
Thyroid cancer	Smoker	0.0868236324832693	no	#4A74A9	Autophagy
Thyroid cancer	Asthma	0.306292808431424	no	#4A74A9	Autophagy
Thyroid cancer	Oral dysplasia	0.307051152041871	no	#4A74A9	Autophagy
Thyroid cancer	Alcoholic liver disease	0.281150026141071	no	#4A74A9	Autophagy
Thyroid cancer	Psoriasis	0.226751968463178	no	#4A74A9	Autophagy
Thyroid cancer	Acne	0.22171019922105	no	#4A74A9	Autophagy
T-cell lymphoma	Myelodysplastic syndromes	0.20725811655559	no	#4A74A9	Autophagy
T-cell lymphoma	Schizophrenia	0.0859287485226641	no	#4A74A9	Autophagy
T-cell lymphoma	Alzheimer's disease	0.198269382683425	no	#4A74A9	Autophagy
Myeloid leukemia	Parkinson's disease	0.182042060999488	no	#4A74A9	Autophagy
Myeloid leukemia	Cerebral infarction	-0.166233977775474	no	#B64539	Autophagy
JMML	Job's syndrome	-0.366036352666879	no	#B64539	Autophagy
Polycythemia vera	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.382067721034714	yes	#4A74A9	Autophagy
Polycythemia vera	Primary myelofibrosis	0.561273611725465	yes	#4A74A9	Autophagy
Polycythemia vera	Job's syndrome	0.297192439036659	no	#4A74A9	Autophagy
Polycythemia vera	Sarcoidosis	0.210839836898217	no	#4A74A9	Autophagy
Polycythemia vera	Axial Spondyloarthropathy	0.216657352729328	no	#4A74A9	Autophagy
Polycythemia vera	Uremia	0.219246234789069	no	#4A74A9	Autophagy
Myelodysplastic syndromes	Cerebral infarction	-0.165046629383142	no	#B64539	Autophagy
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Primary myelofibrosis	0.268854135730193	yes	#4A74A9	Autophagy
Primary myelofibrosis	Uremia	0.279797120679137	no	#4A74A9	Autophagy
Job's syndrome	Autism	-0.0601272264603133	no	#B64539	Autophagy
Job's syndrome	Acute myocardial infarction	0.113931854416707	no	#4A74A9	Autophagy
Job's syndrome	Axial Spondyloarthropathy	0.250540819849886	no	#4A74A9	Autophagy
Job's syndrome	Septic Shock	0.469224766413706	no	#4A74A9	Autophagy
Sarcoidosis	Septic Shock	0.195823992714971	no	#4A74A9	Autophagy
Type 1 diabetes mellitus	Type 2 diabetes mellitus	0.0334048661395682	yes	#4A74A9	Autophagy
Schizophrenia	Alzheimer's disease	0.0976367099479367	no	#4A74A9	Autophagy
Autism	Septic Shock	-0.0434103784395461	no	#B64539	Autophagy
Parkinson's disease	Alzheimer's disease	0.3315535703727	no	#4A74A9	Autophagy
Choroideremia	Septic Shock	0.231958747462946	no	#4A74A9	Autophagy
Acute myocardial infarction	Septic Shock	0.156369416851325	no	#4A74A9	Autophagy
Atrial fibrillation	Seborrheic keratosis	0.185079090287417	no	#4A74A9	Autophagy
Crohn's disease	Psoriasis	0.164874455407698	no	#4A74A9	Autophagy
Ulcerative colitis	Psoriasis	0.196462354577508	no	#4A74A9	Autophagy
Ulcerative colitis	Acne	0.176812365655653	yes	#4A74A9	Autophagy
Irritable bowel syndrome	Psoriasis	0.21944409278008	no	#4A74A9	Autophagy
Psoriasis	Acne	0.278453191699172	no	#4A74A9	Autophagy
Psoriasis	Rosacea	0.280792620330415	yes	#4A74A9	Autophagy
Psoriasis	Dermatomyositis	0.117951284287949	no	#4A74A9	Autophagy
Acne	Seborrheic keratosis	-0.15030040333791	no	#B64539	Autophagy
Axial Spondyloarthropathy	Septic Shock	0.252472080104988	no	#4A74A9	Autophagy
Trachoma	Dengue fever	0.118842214867757	no	#4A74A9	Cell Cycle
Trachoma	Hepatitis B	0.173417499911972	no	#4A74A9	Cell Cycle
Trachoma	Aspergillus colonization of lung allograft	0.102996414800199	no	#4A74A9	Cell Cycle
Trachoma	Nasopharingeal cancer	0.103739881490717	no	#4A74A9	Cell Cycle
Trachoma	Oral cavity cancer	0.147979831127099	no	#4A74A9	Cell Cycle
Trachoma	Esophageal cancer	0.186957473008305	no	#4A74A9	Cell Cycle
Trachoma	Gastric cancer	0.0786764534285665	no	#4A74A9	Cell Cycle
Trachoma	Colon cancer	0.0763870957421791	no	#4A74A9	Cell Cycle
Trachoma	Liver cancer	0.111940975101219	no	#4A74A9	Cell Cycle
Trachoma	Pancreatic cancer	0.0900987215756506	no	#4A74A9	Cell Cycle
Trachoma	Lung cancer	0.149852459719904	no	#4A74A9	Cell Cycle
Trachoma	Mesothelioma	0.163426034652214	no	#4A74A9	Cell Cycle
Trachoma	Rhabdoid cancer	0.11286877637437	no	#4A74A9	Cell Cycle
Trachoma	Prostate cancer	0.0602628737691391	no	#4A74A9	Cell Cycle
Trachoma	Kidney cancer	0.127386692843906	no	#4A74A9	Cell Cycle
Trachoma	Bladder cancer	0.201529371228832	no	#4A74A9	Cell Cycle
Trachoma	Thyroid cancer	0.257513844153935	no	#4A74A9	Cell Cycle
Trachoma	Adrenal cancer	0.138759157001079	no	#4A74A9	Cell Cycle
Trachoma	T-cell lymphoma	0.141311093659739	no	#4A74A9	Cell Cycle
Trachoma	Myeloma	0.0589107253443054	no	#4A74A9	Cell Cycle
Trachoma	Smoker	0.0397470408665462	no	#4A74A9	Cell Cycle
