Disease1	Disease2	weight	comorbid	colors	pathway
Trachoma	Hepatitis B	0.20461284253632	no	#4A74A9	Autophagy
Trachoma	Aspergillus colonization of lung allograft	0.135675874192539	no	#4A74A9	Autophagy
Trachoma	Mesothelioma	0.160980677245891	no	#4A74A9	Autophagy
Trachoma	Thyroid cancer	0.289719883825588	no	#4A74A9	Autophagy
Trachoma	Schizophrenia	0.0608601439802018	no	#4A74A9	Autophagy
Trachoma	Ulcerative colitis	0.160274290133776	no	#4A74A9	Autophagy
Trachoma	Irritable bowel syndrome	0.24415779470099	no	#4A74A9	Autophagy
Dengue fever	Bladder cancer	0.156347358651156	no	#4A74A9	Autophagy
Dengue fever	Myeloid leukemia	0.182814692693939	no	#4A74A9	Autophagy
Dengue fever	Choroideremia	0.276928925607358	no	#4A74A9	Autophagy
Dengue fever	Acute myocardial infarction	0.0960284675483789	no	#4A74A9	Autophagy
Dengue fever	Crohn's disease	0.16005539553711	no	#4A74A9	Autophagy
Dengue fever	Dermatomyositis	0.196928470192023	no	#4A74A9	Autophagy
Dengue fever	Septic Shock	0.259051800290214	no	#4A74A9	Autophagy
Hepatitis C	Type 2 diabetes mellitus	0.0472805585138293	no	#4A74A9	Autophagy
Hepatitis C	Acute myocardial infarction	-0.0655748523676542	no	#B64539	Autophagy
Hepatitis B	Aspergillus colonization of lung allograft	0.202480203218808	no	#4A74A9	Autophagy
Hepatitis B	Sarcoidosis	0.186978017802456	no	#4A74A9	Autophagy
Hepatitis B	Tibial muscular dystrophy	0.269512050623706	no	#4A74A9	Autophagy
Hepatitis B	Acute myocardial infarction	0.11155341890931	no	#4A74A9	Autophagy
Hepatitis B	Atrial fibrillation	-0.161965706415215	no	#B64539	Autophagy
Hepatitis B	Axial Spondyloarthropathy	0.180822995611302	no	#4A74A9	Autophagy
Aspergillus colonization of lung allograft	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.173099304182044	no	#4A74A9	Autophagy
Aspergillus colonization of lung allograft	Huntington's disease	-0.158073790208163	no	#B64539	Autophagy
Aspergillus colonization of lung allograft	Multiple sclerosis	-0.171133872144042	no	#B64539	Autophagy
Aspergillus colonization of lung allograft	Tibial muscular dystrophy	0.203760730261707	no	#4A74A9	Autophagy
Aspergillus colonization of lung allograft	Atrial fibrillation	-0.150757586564651	no	#B64539	Autophagy
Aspergillus colonization of lung allograft	Asthma	-0.214924780780588	no	#B64539	Autophagy
Nasopharingeal cancer	Esophageal cancer	0.261166254202422	no	#4A74A9	Autophagy
Nasopharingeal cancer	Colon cancer	0.232202800210976	no	#4A74A9	Autophagy
Nasopharingeal cancer	Lung cancer	0.364769648985086	no	#4A74A9	Autophagy
Nasopharingeal cancer	Mesothelioma	0.361168979588764	no	#4A74A9	Autophagy
Nasopharingeal cancer	Chronic sinusitis	0.199679266305331	no	#4A74A9	Autophagy
Oral cavity cancer	Esophageal cancer	0.21116066521776	no	#4A74A9	Autophagy
Oral cavity cancer	Colon cancer	0.200879745383143	no	#4A74A9	Autophagy
Oral cavity cancer	Mesothelioma	0.211891754358622	no	#4A74A9	Autophagy
Oral cavity cancer	Thyroid cancer	0.317695473725206	no	#4A74A9	Autophagy
Oral cavity cancer	Aphthous stomatitis	0.242715249789359	no	#4A74A9	Autophagy
Oral cavity cancer	Oral dysplasia	0.375956126215948	no	#4A74A9	Autophagy
Esophageal cancer	Colon cancer	0.252012421682603	no	#4A74A9	Autophagy
Esophageal cancer	Liver cancer	0.213148346982744	no	#4A74A9	Autophagy
Esophageal cancer	Lung cancer	0.479032153441785	no	#4A74A9	Autophagy
Esophageal cancer	Mesothelioma	0.298154530778188	no	#4A74A9	Autophagy
Esophageal cancer	Thyroid cancer	0.241718207228403	no	#4A74A9	Autophagy
Esophageal cancer	Irritable bowel syndrome	0.182086926738788	no	#4A74A9	Autophagy
Esophageal cancer	Psoriasis	0.305435192599397	no	#4A74A9	Autophagy
Esophageal cancer	Rosacea	0.224419067093803	no	#4A74A9	Autophagy
Gastric cancer	Colon cancer	0.204195773679626	no	#4A74A9	Autophagy
Gastric cancer	Liver cancer	0.165487486074485	no	#4A74A9	Autophagy
Gastric cancer	Pancreatic cancer	0.166197730532442	no	#4A74A9	Autophagy
Colon cancer	Liver cancer	0.20071652981993	no	#4A74A9	Autophagy
Colon cancer	Lung cancer	0.316939120237044	no	#4A74A9	Autophagy
