Disease1	Disease2	weight	comorbid	colors	pathway
Trachoma	Hepatitis B	0.617757296466974	no	#4A74A9	Autophagy
Trachoma	Aspergillus colonization of lung allograft	0.414299604139176	no	#4A74A9	Autophagy
Trachoma	Thyroid cancer	0.442662470495673	no	#4A74A9	Autophagy
Trachoma	Irritable bowel syndrome	0.444473450289306	no	#4A74A9	Autophagy
Dengue fever	Dermatomyositis	0.407376868607396	no	#4A74A9	Autophagy
Dengue fever	Septic Shock	0.407741035817078	no	#4A74A9	Autophagy
Hepatitis C	Tibial muscular dystrophy	-0.386429613167581	no	#B64539	Autophagy
Hepatitis C	Acute myocardial infarction	-0.518503067981612	no	#B64539	Autophagy
Hepatitis B	Aspergillus colonization of lung allograft	0.526629017814362	no	#4A74A9	Autophagy
Hepatitis B	Sarcoidosis	0.483130379051456	no	#4A74A9	Autophagy
Hepatitis B	Tibial muscular dystrophy	0.416207710464201	no	#4A74A9	Autophagy
Hepatitis B	Acute myocardial infarction	0.413912233450112	no	#4A74A9	Autophagy
Hepatitis B	Atrial fibrillation	-0.385639292670029	no	#B64539	Autophagy
Hepatitis B	Axial Spondyloarthropathy	0.45491480827024	no	#4A74A9	Autophagy
Aspergillus colonization of lung allograft	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.410567673756944	no	#4A74A9	Autophagy
Aspergillus colonization of lung allograft	Huntington's disease	-0.491617473435655	no	#B64539	Autophagy
Aspergillus colonization of lung allograft	Multiple sclerosis	-0.459841869703731	no	#B64539	Autophagy
Aspergillus colonization of lung allograft	Atrial fibrillation	-0.516151545363908	no	#B64539	Autophagy
Aspergillus colonization of lung allograft	Asthma	-0.627453354223045	no	#B64539	Autophagy
Nasopharingeal cancer	Lung cancer	0.405347593582888	no	#4A74A9	Autophagy
Oral cavity cancer	Thyroid cancer	0.434319096601073	no	#4A74A9	Autophagy
Oral cavity cancer	Aphthous stomatitis	0.438158230221222	no	#4A74A9	Autophagy
Oral cavity cancer	Oral dysplasia	0.659254130605822	no	#4A74A9	Autophagy
Esophageal cancer	Liver cancer	0.380871754523997	no	#4A74A9	Autophagy
Esophageal cancer	Lung cancer	0.633460267505901	no	#4A74A9	Autophagy
Esophageal cancer	Psoriasis	0.423955940204563	no	#4A74A9	Autophagy
Colon cancer	Lung cancer	0.406588426124708	no	#4A74A9	Autophagy
Colon cancer	Axial Spondyloarthropathy	-0.389560304910294	no	#B64539	Autophagy
Liver cancer	Lung cancer	0.413200706073183	no	#4A74A9	Autophagy
Liver cancer	Alcoholic liver disease	0.453944042217824	yes	#4A74A9	Autophagy
Lung cancer	Mesothelioma	0.389922911313286	yes	#4A74A9	Autophagy
Lung cancer	Psoriasis	0.380523434570679	no	#4A74A9	Autophagy
Mesothelioma	Peripheral arterial disease	-0.408193434721857	no	#B64539	Autophagy
Rhabdoid cancer	Brain cancer	0.73586568394067	no	#4A74A9	Autophagy
Bladder cancer	Job's syndrome	0.448260876080864	no	#4A74A9	Autophagy
Bladder cancer	Autism	-0.406473173411463	no	#B64539	Autophagy
Bladder cancer	Septic Shock	0.477537910455652	no	#4A74A9	Autophagy
Brain cancer	Alzheimer's disease	0.431585971280628	no	#4A74A9	Autophagy
Thyroid cancer	Oral dysplasia	0.390172963072835	no	#4A74A9	Autophagy
Thyroid cancer	Irritable bowel syndrome	0.390405821142617	no	#4A74A9	Autophagy
Thyroid cancer	Psoriasis	0.389867895545315	no	#4A74A9	Autophagy
Thyroid cancer	Acne	0.491053852643419	no	#4A74A9	Autophagy
T-cell lymphoma	Myelodysplastic syndromes	0.379898370261857	no	#4A74A9	Autophagy
T-cell lymphoma	Choroideremia	0.418477169224926	no	#4A74A9	Autophagy
T-cell lymphoma	Other systemic involvement of connective tissue	0.419205502655191	no	#4A74A9	Autophagy
JMML	Job's syndrome	-0.615069909634492	no	#B64539	Autophagy
JMML	Sarcoidosis	-0.399085527079491	no	#B64539	Autophagy
JMML	Axial Spondyloarthropathy	-0.516427313372172	no	#B64539	Autophagy
JMML	Septic Shock	-0.469560386137926	no	#B64539	Autophagy
Polycythemia vera	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.610139667008601	yes	#4A74A9	Autophagy
Polycythemia vera	Primary myelofibrosis	0.69886393552176	yes	#4A74A9	Autophagy
Polycythemia vera	Job's syndrome	0.462201455564287	no	#4A74A9	Autophagy
Polycythemia vera	Sarcoidosis	0.554039002855349	no	#4A74A9	Autophagy
Polycythemia vera	Axial Spondyloarthropathy	0.656946569964735	no	#4A74A9	Autophagy
Polycythemia vera	Uremia	0.481177606177606	no	#4A74A9	Autophagy
Polycythemia vera	Septic Shock	0.42984419311853	no	#4A74A9	Autophagy
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Primary myelofibrosis	0.696874639603275	yes	#4A74A9	Autophagy
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Sarcoidosis	0.417000609298838	no	#4A74A9	Autophagy
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Uremia	0.484643891375225	no	#4A74A9	Autophagy
Primary myelofibrosis	Uremia	0.5754433320805	no	#4A74A9	Autophagy
Job's syndrome	Sarcoidosis	0.529994455184403	no	#4A74A9	Autophagy
Job's syndrome	Autism	-0.543661676332629	no	#B64539	Autophagy
Job's syndrome	Acute myocardial infarction	0.531238254689582	no	#4A74A9	Autophagy
Job's syndrome	Axial Spondyloarthropathy	0.677464071093528	no	#4A74A9	Autophagy
Job's syndrome	Septic Shock	0.58349286895014	no	#4A74A9	Autophagy
Sarcoidosis	Acute myocardial infarction	0.52788319394099	no	#4A74A9	Autophagy
Sarcoidosis	Axial Spondyloarthropathy	0.822116314764417	no	#4A74A9	Autophagy
Sarcoidosis	Uremia	0.427188594803669	no	#4A74A9	Autophagy
Sarcoidosis	Septic Shock	0.507073203776341	no	#4A74A9	Autophagy
Type 1 diabetes mellitus	Peripheral arterial disease	-0.41850697737434	no	#B64539	Autophagy
Type 1 diabetes mellitus	Other interstitial pulmonary diseases	0.426487030411449	no	#4A74A9	Autophagy
Schizophrenia	Parkinson's disease	0.571940204563336	no	#4A74A9	Autophagy
Schizophrenia	Alzheimer's disease	0.669113329418673	no	#4A74A9	Autophagy
Autism	Axial Spondyloarthropathy	-0.393197559685803	no	#B64539	Autophagy
Autism	Septic Shock	-0.40059017715228	no	#B64539	Autophagy
Huntington's disease	Amyotrophic lateral sclerosis	-0.411485261280703	no	#B64539	Autophagy
Huntington's disease	Tibial muscular dystrophy	-0.423296301314185	no	#B64539	Autophagy
