Disease1	Disease2	weight	comorbid	colors	pathway
Trachoma	Cystitis	0.830075187969925	no	#4A74A9	Autophagy
Dengue fever	Septic Shock	0.827838827838828	no	#4A74A9	Autophagy
Oral cavity cancer	Thyroid cancer	0.827960275019099	no	#4A74A9	Autophagy
Gastric cancer	Pancreatic cancer	0.704858299595142	no	#4A74A9	Autophagy
Liver cancer	Pancreatic cancer	0.692406692406693	yes	#4A74A9	Autophagy
Liver cancer	Lung cancer	0.628879345271858	no	#4A74A9	Autophagy
Lung cancer	Breast cancer	0.748885077186964	no	#4A74A9	Autophagy
Brain cancer	Alzheimer's disease	0.780791788856305	no	#4A74A9	Autophagy
Thyroid cancer	Cystitis	0.742302052785924	no	#4A74A9	Autophagy
Job's syndrome	Septic Shock	0.755603934849218	no	#4A74A9	Autophagy
Ulcerative colitis	Irritable bowel syndrome	0.937062937062937	yes	#4A74A9	Autophagy
Ulcerative colitis	Psoriasis	0.788766788766789	no	#4A74A9	Autophagy
Irritable bowel syndrome	Psoriasis	0.869172932330827	no	#4A74A9	Autophagy
Systemic lupus erythematosus	Septic Shock	0.685714285714286	no	#4A74A9	Autophagy
Trachoma	Ovary cancer	0.472422521023405	no	#4A74A9	Cell Cycle
Trachoma	Thyroid cancer	0.689412003793524	no	#4A74A9	Cell Cycle
Trachoma	Job's syndrome	0.367363407337427	no	#4A74A9	Cell Cycle
Trachoma	Ulcerative colitis	0.511157499217201	no	#4A74A9	Cell Cycle
Trachoma	Psoriasis	0.499521873184682	no	#4A74A9	Cell Cycle
Trachoma	Systemic lupus erythematosus	0.493488642981945	no	#4A74A9	Cell Cycle
Trachoma	Uremia	0.482134082134082	no	#4A74A9	Cell Cycle
Trachoma	Cystitis	0.741796494644596	no	#4A74A9	Cell Cycle
Trachoma	Turner's syndrome	0.621465085240865	no	#4A74A9	Cell Cycle
Trachoma	Septic Shock	0.51968380572568	no	#4A74A9	Cell Cycle
Dengue fever	Liver cancer	0.474157421525843	no	#4A74A9	Cell Cycle
Dengue fever	Lung cancer	0.449793295323184	no	#4A74A9	Cell Cycle
Dengue fever	Breast cancer	0.544309816491142	no	#4A74A9	Cell Cycle
Dengue fever	Ovary cancer	0.522284391279182	no	#4A74A9	Cell Cycle
Dengue fever	Thyroid cancer	0.526642832822608	no	#4A74A9	Cell Cycle
Dengue fever	Primary myelofibrosis	0.784620371120655	no	#4A74A9	Cell Cycle
Dengue fever	Sarcoidosis	0.713601127554616	no	#4A74A9	Cell Cycle
Dengue fever	Psoriasis	0.57459634959635	no	#4A74A9	Cell Cycle
Dengue fever	Systemic lupus erythematosus	0.753833763237231	no	#4A74A9	Cell Cycle
Dengue fever	Septic Shock	0.725253348864298	no	#4A74A9	Cell Cycle
Hepatitis C	Turner's syndrome	-0.96043956043956	no	#B64539	Cell Cycle
Nasopharingeal cancer	Oral cavity cancer	0.469884822655067	yes	#4A74A9	Cell Cycle
Nasopharingeal cancer	Gastric cancer	0.533852284311	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Colon cancer	0.526052530325429	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Liver cancer	0.518869661266568	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Lung cancer	0.543231646388056	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Breast cancer	0.52436245252306	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Cervix cancer	0.653493676135185	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Kidney cancer	0.535485217238501	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Brain cancer	0.583571428571429	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Thyroid cancer	0.666187925998053	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Psoriasis	0.583203612656628	no	#4A74A9	Cell Cycle
Nasopharingeal cancer	Endometriosis	-0.466034609720177	no	#B64539	Cell Cycle
Oral cavity cancer	Gastric cancer	0.679663427974531	no	#4A74A9	Cell Cycle
Oral cavity cancer	Colon cancer	0.678018827794115	no	#4A74A9	Cell Cycle
Oral cavity cancer	Liver cancer	0.661304415225694	no	#4A74A9	Cell Cycle
Oral cavity cancer	Pancreatic cancer	0.489216351706974	no	#4A74A9	Cell Cycle
Oral cavity cancer	Lung cancer	0.637728025953064	no	#4A74A9	Cell Cycle
Oral cavity cancer	Breast cancer	0.659032690950391	no	#4A74A9	Cell Cycle
Oral cavity cancer	Cervix cancer	0.556486346619174	no	#4A74A9	Cell Cycle
Oral cavity cancer	Ovary cancer	0.674601038626284	no	#4A74A9	Cell Cycle
Oral cavity cancer	Kidney cancer	0.54237796888369	no	#4A74A9	Cell Cycle
Oral cavity cancer	Brain cancer	0.390070997704586	no	#4A74A9	Cell Cycle
Oral cavity cancer	Thyroid cancer	0.710636407642587	no	#4A74A9	Cell Cycle
Oral cavity cancer	Oral dysplasia	0.822954822954823	no	#4A74A9	Cell Cycle
Oral cavity cancer	Ulcerative colitis	0.48124358873195	no	#4A74A9	Cell Cycle
Oral cavity cancer	Irritable bowel syndrome	0.599547511312217	no	#4A74A9	Cell Cycle
Oral cavity cancer	Psoriasis	0.654848387785608	no	#4A74A9	Cell Cycle
Oral cavity cancer	Systemic lupus erythematosus	0.436357998187109	no	#4A74A9	Cell Cycle
Oral cavity cancer	Cystitis	0.436721665242998	no	#4A74A9	Cell Cycle
Oral cavity cancer	Endometriosis	-0.390185435524894	no	#B64539	Cell Cycle
Gastric cancer	Colon cancer	0.711803138726609	no	#4A74A9	Cell Cycle
Gastric cancer	Liver cancer	0.687390304336715	no	#4A74A9	Cell Cycle
Gastric cancer	Pancreatic cancer	0.603665882436704	no	#4A74A9	Cell Cycle
Gastric cancer	Lung cancer	0.70473445127395	no	#4A74A9	Cell Cycle
Gastric cancer	Breast cancer	0.695228717355734	no	#4A74A9	Cell Cycle
Gastric cancer	Cervix cancer	0.568306109272678	no	#4A74A9	Cell Cycle
Gastric cancer	Ovary cancer	0.722275339922399	no	#4A74A9	Cell Cycle
Gastric cancer	Kidney cancer	0.562470201679792	no	#4A74A9	Cell Cycle
Gastric cancer	Brain cancer	0.376093335761844	no	#4A74A9	Cell Cycle
Gastric cancer	Thyroid cancer	0.62250433224946	no	#4A74A9	Cell Cycle
Gastric cancer	Melanoma metastasis	0.684020146520147	yes	#4A74A9	Cell Cycle
Gastric cancer	Chronic sinusitis	0.699780058651026	no	#4A74A9	Cell Cycle
Gastric cancer	Ulcerative colitis	0.46395000787691	no	#4A74A9	Cell Cycle
Gastric cancer	Psoriasis	0.616008226757381	no	#4A74A9	Cell Cycle
Gastric cancer	Cystitis	0.49878703380969	no	#4A74A9	Cell Cycle
Gastric cancer	Endometriosis	-0.405266803279455	no	#B64539	Cell Cycle
Colon cancer	Liver cancer	0.600340470543513	no	#4A74A9	Cell Cycle
Colon cancer	Pancreatic cancer	0.396375891664958	no	#4A74A9	Cell Cycle
Colon cancer	Lung cancer	0.719973735143582	no	#4A74A9	Cell Cycle
Colon cancer	Breast cancer	0.634955129828115	no	#4A74A9	Cell Cycle
Colon cancer	Cervix cancer	0.596930314171693	no	#4A74A9	Cell Cycle
Colon cancer	Ovary cancer	0.633406871430259	no	#4A74A9	Cell Cycle
Colon cancer	Kidney cancer	0.472115262250864	no	#4A74A9	Cell Cycle
Colon cancer	Brain cancer	0.440242450096873	no	#4A74A9	Cell Cycle
Colon cancer	Thyroid cancer	0.488522111941316	no	#4A74A9	Cell Cycle
Colon cancer	Melanoma metastasis	0.653900572384076	yes	#4A74A9	Cell Cycle
Colon cancer	Job's syndrome	-0.304331381459794	no	#B64539	Cell Cycle
Colon cancer	Ulcerative colitis	0.537554581568666	no	#4A74A9	Cell Cycle
Colon cancer	Irritable bowel syndrome	0.65269880150468	no	#4A74A9	Cell Cycle
Colon cancer	Psoriasis	0.566780016579539	no	#4A74A9	Cell Cycle
Colon cancer	Endometriosis	-0.396485716475325	no	#B64539	Cell Cycle
Liver cancer	Pancreatic cancer	0.501721223013414	yes	#4A74A9	Cell Cycle
Liver cancer	Lung cancer	0.759816111511027	no	#4A74A9	Cell Cycle
Liver cancer	Breast cancer	0.732880288370328	no	#4A74A9	Cell Cycle
Liver cancer	Cervix cancer	0.59687166767664	no	#4A74A9	Cell Cycle
Liver cancer	Ovary cancer	0.678909491500994	no	#4A74A9	Cell Cycle
Liver cancer	Kidney cancer	0.590679923414198	no	#4A74A9	Cell Cycle
Liver cancer	Brain cancer	0.375186452731233	no	#4A74A9	Cell Cycle
Liver cancer	Thyroid cancer	0.645201846238633	no	#4A74A9	Cell Cycle
Liver cancer	Melanoma metastasis	0.606662826420891	no	#4A74A9	Cell Cycle
Liver cancer	Primary myelofibrosis	0.589237041351194	no	#4A74A9	Cell Cycle
Liver cancer	Smoker	-0.49493366419608	no	#B64539	Cell Cycle
Liver cancer	Chronic sinusitis	0.792008757525999	no	#4A74A9	Cell Cycle
Liver cancer	Ulcerative colitis	0.416848356030809	no	#4A74A9	Cell Cycle
Liver cancer	Psoriasis	0.55160032108353	no	#4A74A9	Cell Cycle
Liver cancer	Cystitis	0.448158980127484	no	#4A74A9	Cell Cycle
Liver cancer	Endometriosis	-0.42074923492778	no	#B64539	Cell Cycle
Pancreatic cancer	Lung cancer	0.413999350754748	no	#4A74A9	Cell Cycle
Pancreatic cancer	Breast cancer	0.536434061611088	no	#4A74A9	Cell Cycle
Pancreatic cancer	Cervix cancer	0.395889958806024	no	#4A74A9	Cell Cycle
Pancreatic cancer	Ovary cancer	0.498611811782955	no	#4A74A9	Cell Cycle
Pancreatic cancer	Kidney cancer	0.53968789811477	no	#4A74A9	Cell Cycle
Pancreatic cancer	Thyroid cancer	0.492831541218638	no	#4A74A9	Cell Cycle
Pancreatic cancer	Ulcerative colitis	0.415261627906977	no	#4A74A9	Cell Cycle
Pancreatic cancer	Psoriasis	0.356659925515809	no	#4A74A9	Cell Cycle
Pancreatic cancer	Cystitis	0.46259380943357	no	#4A74A9	Cell Cycle
Pancreatic cancer	Endometriosis	-0.409732832228534	no	#B64539	Cell Cycle
Lung cancer	Breast cancer	0.811005840769482	no	#4A74A9	Cell Cycle
Lung cancer	Cervix cancer	0.616399042888762	no	#4A74A9	Cell Cycle
Lung cancer	Ovary cancer	0.793501436521582	no	#4A74A9	Cell Cycle
Lung cancer	Kidney cancer	0.37813279231018	no	#4A74A9	Cell Cycle
Lung cancer	Brain cancer	0.331301948907744	yes	#4A74A9	Cell Cycle
Lung cancer	Thyroid cancer	0.606404436599575	no	#4A74A9	Cell Cycle
Lung cancer	Melanoma metastasis	0.736831950607756	yes	#4A74A9	Cell Cycle
Lung cancer	Primary myelofibrosis	0.619107728809303	no	#4A74A9	Cell Cycle
Lung cancer	Chronic sinusitis	0.73596256684492	no	#4A74A9	Cell Cycle
Lung cancer	Ulcerative colitis	0.474495537426314	no	#4A74A9	Cell Cycle
Lung cancer	Psoriasis	0.702858387650672	no	#4A74A9	Cell Cycle
Lung cancer	Cystitis	0.335377416239305	no	#4A74A9	Cell Cycle
Lung cancer	Endometriosis	-0.384606755033584	no	#B64539	Cell Cycle
Breast cancer	Cervix cancer	0.597624182087905	no	#4A74A9	Cell Cycle
Breast cancer	Ovary cancer	0.772057076429785	no	#4A74A9	Cell Cycle
Breast cancer	Kidney cancer	0.506823705922903	no	#4A74A9	Cell Cycle
Breast cancer	Brain cancer	0.373611446025239	no	#4A74A9	Cell Cycle
Breast cancer	Thyroid cancer	0.667068488678351	no	#4A74A9	Cell Cycle
Breast cancer	Adrenal cancer	0.902941176470588	no	#4A74A9	Cell Cycle
Breast cancer	Melanoma metastasis	0.74516165973203	yes	#4A74A9	Cell Cycle
Breast cancer	Primary myelofibrosis	0.559714072335432	no	#4A74A9	Cell Cycle
Breast cancer	Ulcerative colitis	0.502057928777769	no	#4A74A9	Cell Cycle
Breast cancer	Psoriasis	0.669779780201272	no	#4A74A9	Cell Cycle
Breast cancer	Cystitis	0.478346456692913	no	#4A74A9	Cell Cycle
Breast cancer	Endometriosis	-0.442728539277677	no	#B64539	Cell Cycle
Cervix cancer	Ovary cancer	0.491128407925847	yes	#4A74A9	Cell Cycle
Cervix cancer	Kidney cancer	0.438755538282161	no	#4A74A9	Cell Cycle
Cervix cancer	Thyroid cancer	0.561293304182442	no	#4A74A9	Cell Cycle
Cervix cancer	Melanoma metastasis	0.587365591397849	yes	#4A74A9	Cell Cycle
Cervix cancer	Primary myelofibrosis	0.462135888133563	no	#4A74A9	Cell Cycle
Cervix cancer	Psoriasis	0.483211711737094	no	#4A74A9	Cell Cycle
Cervix cancer	Cystitis	0.422034067469559	no	#4A74A9	Cell Cycle
Cervix cancer	Endometriosis	-0.405456645785842	no	#B64539	Cell Cycle
Ovary cancer	Kidney cancer	0.427216341324642	no	#4A74A9	Cell Cycle
Ovary cancer	Thyroid cancer	0.667459669826125	no	#4A74A9	Cell Cycle
Ovary cancer	Primary myelofibrosis	0.520812976353332	no	#4A74A9	Cell Cycle
Ovary cancer	Psoriasis	0.639425554735273	no	#4A74A9	Cell Cycle
Ovary cancer	Systemic lupus erythematosus	0.600042182227222	no	#4A74A9	Cell Cycle
Ovary cancer	Endometriosis	-0.417492309433419	no	#B64539	Cell Cycle
Kidney cancer	Brain cancer	0.465035106199465	no	#4A74A9	Cell Cycle
Kidney cancer	Thyroid cancer	0.569443742098609	no	#4A74A9	Cell Cycle
Kidney cancer	Melanoma metastasis	0.616695468509985	yes	#4A74A9	Cell Cycle
Kidney cancer	Ulcerative colitis	0.366256950541411	no	#4A74A9	Cell Cycle
Kidney cancer	Psoriasis	0.378002807088519	no	#4A74A9	Cell Cycle
Kidney cancer	Cystitis	0.483857188745139	no	#4A74A9	Cell Cycle
Kidney cancer	Endometriosis	-0.403919713222039	no	#B64539	Cell Cycle
Brain cancer	Alzheimer's disease	0.58250124727479	no	#4A74A9	Cell Cycle
Thyroid cancer	Melanoma metastasis	0.728913192071087	yes	#4A74A9	Cell Cycle
Thyroid cancer	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.624367518203135	no	#4A74A9	Cell Cycle
Thyroid cancer	Primary myelofibrosis	0.485535502365797	no	#4A74A9	Cell Cycle
Thyroid cancer	Ulcerative colitis	0.549779192653703	no	#4A74A9	Cell Cycle
Thyroid cancer	Psoriasis	0.65601355679831	no	#4A74A9	Cell Cycle
Thyroid cancer	Systemic lupus erythematosus	0.470756249183266	no	#4A74A9	Cell Cycle
Thyroid cancer	Uremia	0.387994448299792	no	#4A74A9	Cell Cycle
Thyroid cancer	Cystitis	0.680524898240214	no	#4A74A9	Cell Cycle
Thyroid cancer	Septic Shock	0.474600250049352	no	#4A74A9	Cell Cycle
Melanoma metastasis	Ulcerative colitis	0.649825783972126	no	#4A74A9	Cell Cycle
Melanoma metastasis	Psoriasis	0.693635531135531	no	#4A74A9	Cell Cycle
Melanoma metastasis	Rosacea	0.692895339954164	no	#4A74A9	Cell Cycle
Melanoma metastasis	Cystitis	0.679395995185469	no	#4A74A9	Cell Cycle
Polycythemia vera	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.778967867575463	yes	#4A74A9	Cell Cycle
Polycythemia vera	Primary myelofibrosis	0.886741165810933	yes	#4A74A9	Cell Cycle
Polycythemia vera	Uremia	0.601809954751131	no	#4A74A9	Cell Cycle
Myelodysplastic syndromes	Systemic lupus erythematosus	0.86015037593985	no	#4A74A9	Cell Cycle
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Primary myelofibrosis	0.732040816326531	yes	#4A74A9	Cell Cycle
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Uremia	0.537682570593963	no	#4A74A9	Cell Cycle
Primary myelofibrosis	Psoriasis	0.543851960601711	no	#4A74A9	Cell Cycle
