Disease1	Disease2	weight	comorbid	colors	pathway
Trachoma	Thyroid cancer	0.385837487291607	no	#4A74A9	Autophagy
Trachoma	Myeloid leukemia	0.0251840439307168	no	#4A74A9	Autophagy
Dengue fever	Adrenal cancer	0.0182534133499889	no	#4A74A9	Autophagy
Dengue fever	Oral dysplasia	0.00531404606215601	no	#4A74A9	Autophagy
Hepatitis B	Cardiomyopathy	-0.122363188387648	no	#B64539	Autophagy
Hepatitis B	Rosacea	0.337096717125603	no	#4A74A9	Autophagy
Nasopharingeal cancer	Cerebral infarction	-0.0416710628438202	no	#B64539	Autophagy
Nasopharingeal cancer	Oral dysplasia	-0.00837458996623376	no	#B64539	Autophagy
Nasopharingeal cancer	Uremia	0.0224961309661938	no	#4A74A9	Autophagy
Nasopharingeal cancer	Klinefelter's syndrome	0.00154805572142515	no	#4A74A9	Autophagy
Oral cavity cancer	Esophageal cancer	0.250613762107831	no	#4A74A9	Autophagy
Oral cavity cancer	Thyroid cancer	0.393221768333334	no	#4A74A9	Autophagy
Oral cavity cancer	Myeloid leukemia	0.0150804287317677	no	#4A74A9	Autophagy
Oral cavity cancer	Oral dysplasia	0.402439804911855	no	#4A74A9	Autophagy
Esophageal cancer	Lung cancer	0.485586911046528	no	#4A74A9	Autophagy
Esophageal cancer	Psoriasis	0.32873979625626	no	#4A74A9	Autophagy
Gastric cancer	Pancreatic cancer	0.426053221056682	no	#4A74A9	Autophagy
Colon cancer	Lung cancer	1	no	#4A74A9	Autophagy
Colon cancer	Myeloid leukemia	-0.0595887187808398	no	#B64539	Autophagy
Colon cancer	Atrial fibrillation	-0.0102087335269127	no	#B64539	Autophagy
Liver cancer	Atrial fibrillation	-0.0493912477465068	no	#B64539	Autophagy
Liver cancer	Alcoholic liver disease	0.430125722305105	yes	#4A74A9	Autophagy
Pancreatic cancer	Parkinson's disease	0.00674299850561933	no	#4A74A9	Autophagy
Lung cancer	Mesothelioma	0.48929561779525	yes	#4A74A9	Autophagy
Lung cancer	Thyroid cancer	0.535465552775838	no	#4A74A9	Autophagy
Lung cancer	Psoriasis	0.827332704626028	no	#4A74A9	Autophagy
Mesothelioma	Oral dysplasia	0.178692191288221	no	#4A74A9	Autophagy
Rhabdoid cancer	Brain cancer	0.873070305349731	no	#4A74A9	Autophagy
Prostate cancer	Kidney cancer	-0.01788955496376	no	#B64539	Autophagy
Prostate cancer	Job's syndrome	-0.00523868205456834	no	#B64539	Autophagy
Kidney cancer	Thyroid cancer	0.531508434805048	no	#4A74A9	Autophagy
Thyroid cancer	Oral dysplasia	0.222438040562933	no	#4A74A9	Autophagy
Thyroid cancer	Alcoholic liver disease	0.454744560009094	no	#4A74A9	Autophagy
Thyroid cancer	Psoriasis	0.565468046879553	no	#4A74A9	Autophagy
Thyroid cancer	Acne	0.494371085173399	no	#4A74A9	Autophagy
Adrenal cancer	Tibial muscular dystrophy	-0.11004488090046	no	#B64539	Autophagy
Follicular lymphoma	Atrial fibrillation	0.0113674256922746	no	#4A74A9	Autophagy
Myeloid leukemia	Rosacea	0.0454873176361939	no	#4A74A9	Autophagy
JMML	Job's syndrome	-0.0914079946999863	no	#B64539	Autophagy
Polycythemia vera	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.181393085290911	yes	#4A74A9	Autophagy
Polycythemia vera	IgA nephropathy	-0.0616892145312134	no	#B64539	Autophagy
Myelodysplastic syndromes	Acne	-0.0543967014865409	no	#B64539	Autophagy
Myelodysplastic syndromes	Uremia	0.0275255767161117	no	#4A74A9	Autophagy
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Oral dysplasia	-0.0109420741152729	no	#B64539	Autophagy
Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Klinefelter's syndrome	0.00842799620440478	no	#4A74A9	Autophagy
Primary myelofibrosis	Cardiomyopathy	-0.00239046878075393	no	#B64539	Autophagy
Primary myelofibrosis	Acne	-0.0956954032040338	no	#B64539	Autophagy
Primary myelofibrosis	Rosacea	-0.00993275673154291	no	#B64539	Autophagy
Smoker	Cardiomyopathy	-0.0402351301153085	no	#B64539	Autophagy
