term1	term2	sex	nes	ids	colors
Polycythaemia vera	ruxolitinib	women	0	1	#000000
Myelofibrosis	ruxolitinib	women	0	1	#000000
Acute myocardial infarction	eptifibatide	women	0	1	#000000
Systemic lupus erythematosus	hydroxychloroquine	women	0	1	#000000
Polycythaemia vera	ruxolitinib	men	0	1	#000000
Myelofibrosis	ruxolitinib	men	0	1	#000000
Type 1 diabetes mellitus	linagliptin	men	0	1	#000000
Type 2 diabetes mellitus	linagliptin	men	0	1	#000000
Type 1 diabetes mellitus	sitagliptin	men	0	1	#000000
Type 2 diabetes mellitus	sitagliptin	men	0	1	#000000
Type 1 diabetes mellitus	saxagliptin	men	0	1	#000000
Type 2 diabetes mellitus	saxagliptin	men	0	1	#000000
Type 2 diabetes mellitus	alogliptin	men	0	1	#000000
Type 2 diabetes mellitus	vildagliptin	men	0	1	#000000
Type 1 diabetes mellitus	linagliptin	women	0	2	#000000
Type 2 diabetes mellitus	linagliptin	women	0	2	#000000
Type 1 diabetes mellitus	sitagliptin	women	0	2	#000000
Type 2 diabetes mellitus	sitagliptin	women	0	2	#000000
Type 1 diabetes mellitus	saxagliptin	women	0	2	#000000
Type 2 diabetes mellitus	saxagliptin	women	0	2	#000000
Type 1 diabetes mellitus	captopril	women	0	2	#000000
Type 2 diabetes mellitus	captopril	women	0	2	#000000
Collagen-vascular disease	captopril	women	0	2	#000000
Type 2 diabetes mellitus	alogliptin	women	0	2	#000000
Type 2 diabetes mellitus	vildagliptin	women	0	2	#000000
Breast cancer	raltitrexed	men	0	2	#000000
Psoriasis	hydrocortisone	men	0	2	#000000
Endometriosis	norethisterone	men	0	2	#000000
Hepatitis C	ribavirin	women	0	3	#000000
Malignant neoplasm of esophagus	irinotecan	women	0	3	#000000
Malignant neoplasm of pancreas	irinotecan	women	0	3	#000000
Lung neoplasm malignant	irinotecan	women	0	3	#000000
Gastric cancer	doxorubicin	women	0	3	#000000
Hepatic cancer	doxorubicin	women	0	3	#000000
Lung neoplasm malignant	doxorubicin	women	0	3	#000000
Breast cancer	doxorubicin	women	0	3	#000000
Prostate cancer	doxorubicin	women	0	3	#000000
Bladder cancer	doxorubicin	women	0	3	#000000
Thyroid cancer	doxorubicin	women	0	3	#000000
Plasma cell myeloma	doxorubicin	women	0	3	#000000
Acute myeloid leukaemia	doxorubicin	women	0	3	#000000
Hepatic cancer	mitoxantrone	women	0	3	#000000
Breast cancer	mitoxantrone	women	0	3	#000000
Prostate cancer	mitoxantrone	women	0	3	#000000
Acute myeloid leukaemia	mitoxantrone	women	0	3	#000000
Multiple sclerosis	mitoxantrone	women	0	3	#000000
