Disease1	Disease2	weight	comorbid	colors
Trachoma	Dengue fever	0.162434807566367	no	#4A74A9
Trachoma	Oral cavity cancer	0.210717379503337	no	#4A74A9
Trachoma	Gastric cancer	0.0586523807018444	no	#4A74A9
Trachoma	Colon cancer	0.0390625289009152	no	#4A74A9
Trachoma	Pancreatic cancer	0.0674244823981155	no	#4A74A9
Trachoma	Breast cancer	0.191786527706948	no	#4A74A9
Trachoma	Cervix cancer	0.0549760440259864	no	#4A74A9
Trachoma	Ovary cancer	0.101099032684826	no	#4A74A9
Trachoma	Kidney cancer	0.194036466139536	no	#4A74A9
Trachoma	Brain cancer	0.0408966488665405	no	#4A74A9
Trachoma	Thyroid cancer	0.255590063799219	no	#4A74A9
Trachoma	Melanoma metastasis	0.109189165610185	no	#4A74A9
Trachoma	Lymphoid leukemia	0.0516458801252146	no	#4A74A9
Trachoma	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	-0.0232599982855496	no	#B64539
Trachoma	Autosomal dominant monocytopenia	-0.0384901960021272	no	#B64539
Trachoma	Primary myelofibrosis	-0.123143027568	no	#B64539
Trachoma	Job's syndrome	0.172437262136753	no	#4A74A9
Trachoma	Sarcoidosis	0.0701710746311365	no	#4A74A9
Trachoma	Other and unspecified metabolic disorders	-0.0578708899640969	no	#B64539
Trachoma	Smoker	0.0689819150940758	no	#4A74A9
Trachoma	Alzheimer's disease	0.0697256290638951	no	#4A74A9
Trachoma	Multiple sclerosis	0.0345360593040704	no	#4A74A9
Trachoma	Cardiomyopathy	-0.0572507442352701	no	#B64539
Trachoma	Chronic sinusitis	0.0925494497023018	no	#4A74A9
Trachoma	Oral dysplasia	0.0675297679133133	no	#4A74A9
Trachoma	Ulcerative colitis	0.274657904842032	no	#4A74A9
Trachoma	Irritable bowel syndrome	0.33185531438727	no	#4A74A9
Trachoma	Atopic dermatitis	0.11505190125314	no	#4A74A9
Trachoma	Psoriasis	0.322836652306954	no	#4A74A9
Trachoma	Rosacea	0.227795929387038	no	#4A74A9
Trachoma	Systemic lupus erythematosus	0.183285321732827	no	#4A74A9
Trachoma	Uremia	0.0745088665901169	no	#4A74A9
Trachoma	Cystitis	0.534509517229228	no	#4A74A9
Trachoma	Endometriosis	0.13573470384977	no	#4A74A9
Trachoma	Turner's syndrome	0.130843383330058	no	#4A74A9
Trachoma	Septic Shock	0.184486758139968	no	#4A74A9
