Disease1	Disease2	weight	comorbid	colors
Trachoma	Dengue fever	0.340426428033032	no	#4A74A9
Trachoma	Hepatitis C	-0.375523651874054	no	#B64539
Trachoma	Hepatitis B	0.589344017752817	no	#4A74A9
Trachoma	Nasopharingeal cancer	0.359252892339644	no	#4A74A9
Trachoma	Oral cavity cancer	0.464780051064437	no	#4A74A9
Trachoma	Esophageal cancer	0.406973287349757	no	#4A74A9
Trachoma	Gastric cancer	0.0870620930828416	no	#4A74A9
Trachoma	Liver cancer	-0.0844137958472948	no	#B64539
Trachoma	Pancreatic cancer	0.153283880284671	no	#4A74A9
Trachoma	Lung cancer	0.0813843947383279	no	#4A74A9
Trachoma	Mesothelioma	0.157263725343772	no	#4A74A9
Trachoma	Kidney cancer	0.309558711014966	no	#4A74A9
Trachoma	Bladder cancer	0.699061252663312	no	#4A74A9
Trachoma	Thyroid cancer	0.544850013627497	no	#4A74A9
Trachoma	Follicular lymphoma	-0.227623947250382	no	#B64539
Trachoma	Myelodysplastic syndromes	-0.464168084323491	no	#B64539
Trachoma	Primary myelofibrosis	-0.339556552332776	no	#B64539
Trachoma	Job's syndrome	0.203582625688332	no	#4A74A9
Trachoma	Schizophrenia	0.279970982868019	no	#4A74A9
Trachoma	Parkinson's disease	0.283694154500869	no	#4A74A9
Trachoma	Alzheimer's disease	0.162790543569273	no	#4A74A9
Trachoma	Tibial muscular dystrophy	0.204101955992188	no	#4A74A9
Trachoma	Cardiomyopathy	-0.301205020897513	no	#B64539
Trachoma	Cerebral infarction	0.202005495959619	no	#4A74A9
Trachoma	Other interstitial pulmonary diseases	-0.348789331555649	no	#B64539
Trachoma	Aphthous stomatitis	0.688106240420434	no	#4A74A9
Trachoma	Oral dysplasia	0.363235406981001	no	#4A74A9
Trachoma	Irritable bowel syndrome	0.843999706233507	no	#4A74A9
Trachoma	Psoriasis	0.4876982479986	no	#4A74A9
Trachoma	Acne	0.645931165369424	no	#4A74A9
Trachoma	Rosacea	0.620046101911224	no	#4A74A9
Trachoma	IgA nephropathy	0.176151713992906	no	#4A74A9
Trachoma	Septic Shock	0.302218295715359	no	#4A74A9
Dengue fever	Hepatitis C	-0.523495097371494	no	#B64539
Dengue fever	Hepatitis B	0.342786689202764	no	#4A74A9
Dengue fever	Nasopharingeal cancer	0.608694338353402	no	#4A74A9
Dengue fever	Oral cavity cancer	0.443602510885229	no	#4A74A9
Dengue fever	Esophageal cancer	0.452179121267304	no	#4A74A9
Dengue fever	Pancreatic cancer	0.28231841759464	no	#4A74A9
Dengue fever	Lung cancer	0.17702301185468	no	#4A74A9
Dengue fever	Rhabdoid cancer	0.248402179574446	no	#4A74A9
Dengue fever	Kidney cancer	0.198993274850132	no	#4A74A9
Dengue fever	Bladder cancer	0.505836807853447	no	#4A74A9
Dengue fever	Brain cancer	0.292233964278844	no	#4A74A9
Dengue fever	Thyroid cancer	0.383393746673003	no	#4A74A9
Dengue fever	T-cell lymphoma	0.465539270342864	no	#4A74A9
Dengue fever	JMML	0.668735758818074	no	#4A74A9
Dengue fever	Polycythemia vera	0.411962375626158	no	#4A74A9
Dengue fever	Myelodysplastic syndromes	0.505862676932533	no	#4A74A9
Dengue fever	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.76692238881058	no	#4A74A9
Dengue fever	Autosomal dominant monocytopenia	0.782491198247795	no	#4A74A9
Dengue fever	Primary myelofibrosis	0.36066183662218	no	#4A74A9
Dengue fever	Job's syndrome	0.141158207011389	no	#4A74A9
Dengue fever	Type 1 diabetes mellitus	-0.68379274351634	no	#B64539
Dengue fever	Tibial muscular dystrophy	0.230132417188728	no	#4A74A9
Dengue fever	Cardiomyopathy	-0.365520682778886	no	#B64539
Dengue fever	Other interstitial pulmonary diseases	-0.369577502984348	no	#B64539
Dengue fever	Aphthous stomatitis	0.525172904929029	no	#4A74A9
Dengue fever	Oral dysplasia	0.304403601350067	no	#4A74A9
Dengue fever	Psoriasis	0.504843020550581	no	#4A74A9
Dengue fever	Acne	0.439112998702389	no	#4A74A9
Dengue fever	Rosacea	0.41166916047765	no	#4A74A9
Dengue fever	Septic Shock	0.597979520607035	no	#4A74A9
Hepatitis C	Hepatitis B	-0.444614018298366	no	#B64539
Hepatitis C	Adrenal cancer	0.401625749888809	no	#4A74A9
Hepatitis C	T-cell lymphoma	0.22949550636399	no	#4A74A9
Hepatitis C	Polycythemia vera	-0.356156720541524	no	#B64539
Hepatitis C	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	-0.371643237478864	no	#B64539
Hepatitis C	Smoker	0.353109977957178	yes	#4A74A9
Hepatitis C	Schizophrenia	0.651701708070817	no	#4A74A9
Hepatitis C	Parkinson's disease	0.639396892670574	no	#4A74A9
Hepatitis C	Alzheimer's disease	0.49483818374352	no	#4A74A9
Hepatitis C	Tibial muscular dystrophy	-0.432963419263352	no	#B64539
Hepatitis C	Chronic Obstructive Pulmonary Disease	0.838702456914088	no	#4A74A9
Hepatitis C	Psoriasis	-0.268299076512462	no	#B64539
Hepatitis C	Acne	-0.270002405340409	no	#B64539
Hepatitis B	Nasopharingeal cancer	0.30540967898159	no	#4A74A9
Hepatitis B	Oral cavity cancer	0.326390788562169	no	#4A74A9
Hepatitis B	Esophageal cancer	0.217819396614937	no	#4A74A9
Hepatitis B	Gastric cancer	0.157673014651911	no	#4A74A9
Hepatitis B	Liver cancer	0.121268200210152	no	#4A74A9
Hepatitis B	Pancreatic cancer	0.334833304061949	no	#4A74A9
Hepatitis B	Kidney cancer	0.345397303987552	no	#4A74A9
Hepatitis B	Bladder cancer	0.405512928690924	no	#4A74A9
Hepatitis B	Thyroid cancer	0.50444190299339	no	#4A74A9
Hepatitis B	T-cell lymphoma	0.262817427980027	no	#4A74A9
Hepatitis B	Myeloid leukemia	-0.351776033553572	no	#B64539
Hepatitis B	JMML	-0.354866353248875	no	#B64539
Hepatitis B	Polycythemia vera	0.339543094891455	no	#4A74A9
Hepatitis B	Myelodysplastic syndromes	-0.276846288399403	no	#B64539
Hepatitis B	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	0.370679992871862	no	#4A74A9
Hepatitis B	Job's syndrome	0.358811542561639	no	#4A74A9
Hepatitis B	Schizophrenia	0.280239762727985	no	#4A74A9
Hepatitis B	Alzheimer's disease	0.125683607907103	no	#4A74A9
Hepatitis B	Tibial muscular dystrophy	0.458117696276235	no	#4A74A9
Hepatitis B	Cardiomyopathy	-0.299312558349104	no	#B64539
Hepatitis B	Atrial fibrillation	-0.302974405513669	no	#B64539
Hepatitis B	Cerebral infarction	0.243036253272822	no	#4A74A9
Hepatitis B	Aphthous stomatitis	0.448911986900086	no	#4A74A9
Hepatitis B	Oral dysplasia	0.304558779880049	no	#4A74A9
Hepatitis B	Alcoholic liver disease	0.418154363339764	yes	#4A74A9
Hepatitis B	Psoriasis	0.221044996333383	no	#4A74A9
Hepatitis B	Acne	0.502292629432563	no	#4A74A9
Hepatitis B	Rosacea	0.245460440193414	no	#4A74A9
Hepatitis B	IgA nephropathy	0.300545651078497	no	#4A74A9
Hepatitis B	Uremia	0.112836804832149	no	#4A74A9
Hepatitis B	Septic Shock	0.389230229405444	no	#4A74A9
Nasopharingeal cancer	Oral cavity cancer	0.606232153213839	yes	#4A74A9
Nasopharingeal cancer	Esophageal cancer	0.498165305877899	no	#4A74A9
Nasopharingeal cancer	Gastric cancer	0.573023192479755	no	#4A74A9
