Disease1	Disease2	weight	comorbid	colors
Trachoma	Dengue fever	0.212282652764311	no	#4A74A9
Trachoma	Hepatitis C	-0.0714653445278047	no	#B64539
Trachoma	Aspergillus colonization of lung allograft	0.172927003053299	no	#4A74A9
Trachoma	Nasopharingeal cancer	-0.0923539560778767	no	#B64539
Trachoma	Oral cavity cancer	0.235639387375455	no	#4A74A9
Trachoma	Liver cancer	-0.0975784069978647	no	#B64539
Trachoma	Pancreatic cancer	0.0574906200238212	no	#4A74A9
Trachoma	Lung cancer	0.0783472933889549	no	#4A74A9
Trachoma	Mesothelioma	0.227284338552829	no	#4A74A9
Trachoma	Melanoma	0.249086929691783	no	#4A74A9
Trachoma	Breast cancer	0.176973414387761	no	#4A74A9
Trachoma	Ovary cancer	0.124395898341372	no	#4A74A9
Trachoma	Kidney cancer	0.228113342537009	no	#4A74A9
Trachoma	Bladder cancer	0.241140294496746	no	#4A74A9
Trachoma	Thyroid cancer	0.421466892880803	no	#4A74A9
Trachoma	Adrenal cancer	0.0936743505571389	no	#4A74A9
Trachoma	Melanoma metastasis	0.216398928494182	no	#4A74A9
Trachoma	Myeloid leukemia	-0.116980880673319	no	#B64539
Trachoma	Polycythemia vera	-0.0266069509488323	no	#B64539
Trachoma	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	-0.075209169766468	no	#B64539
Trachoma	Sickle-cell anemia	-0.10926535155856	no	#B64539
Trachoma	Autosomal dominant monocytopenia	-0.0890498050551237	no	#B64539
Trachoma	Primary myelofibrosis	-0.184266645142731	no	#B64539
Trachoma	Job's syndrome	0.253824837794394	no	#4A74A9
Trachoma	Sarcoidosis	0.0369859842443482	no	#4A74A9
Trachoma	Type 1 diabetes mellitus	0.0652058818446067	no	#4A74A9
Trachoma	Type 2 diabetes mellitus	-0.0375293767519853	no	#B64539
Trachoma	Other and unspecified metabolic disorders	-0.129119190174919	no	#B64539
Trachoma	Smoker	0.153286412293256	no	#4A74A9
Trachoma	Schizophrenia	0.0575711142694071	no	#4A74A9
Trachoma	Bipolar disorder	0.0144747506370154	no	#4A74A9
Trachoma	Major depression	0.00967594368543292	no	#4A74A9
Trachoma	Huntington's disease	0.0440292697493844	no	#4A74A9
Trachoma	Amyotrophic lateral sclerosis	-0.0533109271429775	no	#B64539
Trachoma	Alzheimer's disease	0.0904903200603265	no	#4A74A9
Trachoma	Multiple sclerosis	-0.0348386348508235	no	#B64539
Trachoma	Acute myocardial infarction	0.10581242618928	no	#4A74A9
Trachoma	Cardiomyopathy	-0.0918246044174885	no	#B64539
Trachoma	Cerebral infarction	-0.0189503364679385	no	#B64539
Trachoma	Peripheral arterial disease	0.0713878755547776	no	#4A74A9
Trachoma	Chronic sinusitis	0.179644973440298	no	#4A74A9
Trachoma	Chronic Obstructive Pulmonary Disease	0.0447555747960267	no	#4A74A9
Trachoma	Asthma	-0.261173656740447	no	#B64539
Trachoma	Other interstitial pulmonary diseases	0.0545785692410557	no	#4A74A9
Trachoma	Aphthous stomatitis	0.0991089057876356	no	#4A74A9
Trachoma	Oral dysplasia	0.0971193853206499	no	#4A74A9
Trachoma	Crohn's disease	0.19918157908954	no	#4A74A9
Trachoma	Ulcerative colitis	0.30561692515605	no	#4A74A9
Trachoma	Irritable bowel syndrome	0.344699086424693	no	#4A74A9
Trachoma	Atopic dermatitis	0.233605322286166	no	#4A74A9
Trachoma	Psoriasis	0.37967501122229	no	#4A74A9
Trachoma	Rosacea	0.295693595712667	no	#4A74A9
Trachoma	Osteoarthritis	0.0521407427444619	no	#4A74A9
Trachoma	Systemic lupus erythematosus	0.176230300939858	no	#4A74A9
Trachoma	Other systemic involvement of connective tissue	-0.0522138896644413	no	#B64539
Trachoma	Axial Spondyloarthropathy	0.0545458907201809	no	#4A74A9
Trachoma	Myositis	0.213894286348538	no	#4A74A9
Trachoma	Uremia	0.0968350663785337	no	#4A74A9
Trachoma	Cystitis	0.591501125258131	no	#4A74A9
Trachoma	Endometriosis	0.250630209385067	no	#4A74A9
Trachoma	Setleis syndrome	-0.0516584196960547	no	#B64539
Trachoma	Turner's syndrome	0.13300811887763	no	#4A74A9
Trachoma	Septic Shock	0.242945967413506	no	#4A74A9
Dengue fever	Aspergillus colonization of lung allograft	0.0758001965582365	no	#4A74A9
Dengue fever	Nasopharingeal cancer	0.0650844174413031	no	#4A74A9
Dengue fever	Oral cavity cancer	0.228751589769932	no	#4A74A9
Dengue fever	Gastric cancer	0.038468386337891	no	#4A74A9
Dengue fever	Pancreatic cancer	0.0827610408740865	no	#4A74A9
Dengue fever	Lung cancer	0.134948966506161	no	#4A74A9
Dengue fever	Mesothelioma	0.112463291507547	no	#4A74A9
Dengue fever	Melanoma	0.110650855215327	no	#4A74A9
Dengue fever	Breast cancer	0.142646136631878	no	#4A74A9
Dengue fever	Cervix cancer	0.0558813372030028	no	#4A74A9
Dengue fever	Ovary cancer	0.111229092256519	no	#4A74A9
Dengue fever	Kidney cancer	0.0789565470345927	no	#4A74A9
Dengue fever	Bladder cancer	0.127678941614209	no	#4A74A9
Dengue fever	Brain cancer	0.0783809885799161	no	#4A74A9
Dengue fever	Thyroid cancer	0.209339659109372	no	#4A74A9
Dengue fever	Adrenal cancer	0.0475746205711482	no	#4A74A9
Dengue fever	Melanoma metastasis	0.13198186951133	no	#4A74A9
Dengue fever	Polycythemia vera	0.116756635417196	no	#4A74A9
Dengue fever	Myelodysplastic syndromes	0.0812686363561794	no	#4A74A9
Dengue fever	Sickle-cell anemia	0.0611778871800379	no	#4A74A9
Dengue fever	Autosomal dominant monocytopenia	0.0421277467671969	no	#4A74A9
Dengue fever	Primary myelofibrosis	0.169995046206079	no	#4A74A9
Dengue fever	Job's syndrome	0.356131859558723	no	#4A74A9
Dengue fever	Sarcoidosis	0.148230970574647	no	#4A74A9
Dengue fever	Type 2 diabetes mellitus	0.0254883383555911	no	#4A74A9
Dengue fever	Other and unspecified metabolic disorders	-0.0716348568207669	no	#B64539
Dengue fever	Schizophrenia	0.0178133750563478	no	#4A74A9
Dengue fever	Major depression	-0.00757728762877164	no	#B64539
Dengue fever	Huntington's disease	-0.0636787573638868	no	#B64539
Dengue fever	Amyotrophic lateral sclerosis	0.0429506385533733	no	#4A74A9
